"Time (s)","X (hPa)"
-5.579511666E-1,1.016349335E3
4.469948334E-1,1.016340866E3
1.451927833E0,1.016333313E3
2.456910833E0,1.016333313E3
3.461895833E0,1.016337967E3
3.814022833E0,1.016338959E3
4.886023833E0,1.016346207E3
5.958013833E0,1.016346207E3
7.030025833E0,1.016353912E3
8.102003833E0,1.016365509E3
9.173947833E0,1.016374207E3
1.024590483E1,1.016387558E3
1.131787483E1,1.016397858E3
1.238987483E1,1.016402664E3
1.346181183E1,1.016402664E3
1.453377383E1,1.016400833E3
1.560572583E1,1.016393661E3
1.667772683E1,1.016390457E3
1.774972083E1,1.016390076E3
1.882169183E1,1.016389694E3
1.989366283E1,1.016389694E3
2.096565283E1,1.016394043E3
2.203760983E1,1.016394653E3
2.310956183E1,1.016394653E3
2.418151783E1,1.016393280E3
2.525349383E1,1.016392746E3
2.632549783E1,1.016392746E3
2.739745083E1,1.016393585E3
2.846945883E1,1.016395569E3
2.954148283E1,1.016399384E3
3.061348983E1,1.016402283E3
3.168546283E1,1.016404343E3
3.275745283E1,1.016406860E3
3.382942183E1,1.016407776E3
3.490139483E1,1.016407776E3
3.597334783E1,1.016401901E3
3.704527983E1,1.016395950E3
3.811714683E1,1.016390076E3
3.918904283E1,1.016382675E3
4.026093983E1,1.016374893E3
4.133283583E1,1.016373901E3
4.240479583E1,1.016370316E3
4.347675983E1,1.016370010E3
4.454873383E1,1.016369705E3
4.562064483E1,1.016369705E3
4.669256283E1,1.016373444E3
4.776451083E1,1.016373444E3
4.883646883E1,1.016373596E3
4.990838783E1,1.016373596E3
5.098032683E1,1.016376572E3
5.205229183E1,1.016380997E3
5.312424183E1,1.016388397E3
5.419617983E1,1.016394806E3
5.526808183E1,1.016402512E3
5.634002983E1,1.016407471E3
5.741197683E1,1.016407471E3
5.848398983E1,1.016405182E3
5.955600783E1,1.016398010E3
6.062798783E1,1.016391983E3
6.169989383E1,1.016391983E3
6.277184883E1,1.016393585E3
6.384378983E1,1.016397858E3
6.491574883E1,1.016406326E3
6.598766783E1,1.016413803E3
6.705964683E1,1.016415482E3
6.813155883E1,1.016417465E3
6.920346283E1,1.016417847E3
7.027539583E1,1.016418304E3
7.134733083E1,1.016418304E3
7.241921983E1,1.016418304E3
7.349115883E1,1.016418076E3
7.456306083E1,1.016418076E3
7.563491983E1,1.016417999E3
7.670681983E1,1.016417999E3
7.777869383E1,1.016416626E3
7.885065883E1,1.016414490E3
7.992258883E1,1.016414108E3
8.099451383E1,1.016412430E3
8.206643983E1,1.016409836E3
8.313834083E1,1.016404343E3
8.421024883E1,1.016392441E3
8.528213083E1,1.016381226E3
8.635401883E1,1.016374664E3
8.742591783E1,1.016368408E3
8.849781783E1,1.016366272E3
8.956970383E1,1.016366272E3
9.064162783E1,1.016366272E3
9.171354083E1,1.016362381E3
9.278546383E1,1.016355362E3
9.385742283E1,1.016353912E3
9.492931383E1,1.016353226E3
9.600126883E1,1.016353912E3
9.707315683E1,1.016355286E3
9.814499083E1,1.016358719E3
9.921682583E1,1.016358871E3
1.002886478E2,1.016360626E3
1.013604968E2,1.016360855E3
1.024323828E2,1.016361008E3
1.035042428E2,1.016361008E3
1.045761268E2,1.016360550E3
1.056479688E2,1.016357574E3
1.067198568E2,1.016355133E3
1.077917328E2,1.016353836E3
1.088636058E2,1.016345825E3
1.099354728E2,1.016333618E3
1.110073308E2,1.016326904E3
1.120792648E2,1.016326065E3
1.131511628E2,1.016326065E3
1.142230318E2,1.016330032E3
1.152949108E2,1.016340561E3
1.163668598E2,1.016349869E3
1.174387348E2,1.016352463E3
1.185106188E2,1.016352768E3
1.195825118E2,1.016353226E3
1.206544168E2,1.016355133E3
1.217263128E2,1.016356125E3
1.227981968E2,1.016356735E3
1.238701718E2,1.016357651E3
1.249421408E2,1.016357803E3
1.260140458E2,1.016358109E3
1.270859488E2,1.016358109E3
1.281578568E2,1.016358032E3
1.292297898E2,1.016357574E3
1.303017208E2,1.016355896E3
1.313737408E2,1.016355362E3
1.324457588E2,1.016355362E3
1.335177548E2,1.016360168E3
1.345897408E2,1.016362457E3
1.356617468E2,1.016366043E3
1.367337168E2,1.016368408E3
1.378056678E2,1.016368408E3
1.388776478E2,1.016366653E3
1.399496208E2,1.016365509E3
1.410216118E2,1.016364441E3
1.420935798E2,1.016364441E3
1.431655028E2,1.016365662E3
1.442374378E2,1.016365662E3
1.453093188E2,1.016365433E3
1.463812218E2,1.016363754E3
