"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.646156300E-2,-2.893750000E1,-1.762500000E1,-3.818750000E1
4.646156300E-2,-2.875000000E1,-1.768750000E1,-3.875000000E1
6.646156300E-2,-2.868750000E1,-1.762500000E1,-3.906250000E1
8.646156300E-2,-2.881250000E1,-1.750000000E1,-3.956250000E1
1.064678130E-1,-2.868750000E1,-1.718750000E1,-3.943750000E1
1.364600000E-1,-2.918750000E1,-1.675000000E1,-3.875000000E1
1.564662500E-1,-2.925000000E1,-1.625000000E1,-3.837500000E1
1.864600000E-1,-2.887500000E1,-1.575000000E1,-3.818750000E1
2.064646880E-1,-2.850000000E1,-1.575000000E1,-3.837500000E1
2.364615630E-1,-2.781250000E1,-1.612500000E1,-3.862500000E1
2.564646880E-1,-2.775000000E1,-1.650000000E1,-3.881250000E1
2.864600000E-1,-2.781250000E1,-1.700000000E1,-3.856250000E1
3.064678130E-1,-2.800000000E1,-1.681250000E1,-3.843750000E1
3.364600000E-1,-2.850000000E1,-1.668750000E1,-3.806250000E1
3.564615630E-1,-2.843750000E1,-1.656250000E1,-3.787500000E1
3.764615630E-1,-2.893750000E1,-1.643750000E1,-3.800000000E1
3.964646880E-1,-2.906250000E1,-1.656250000E1,-3.806250000E1
4.264600000E-1,-2.906250000E1,-1.650000000E1,-3.800000000E1
4.464631250E-1,-2.937500000E1,-1.656250000E1,-3.812500000E1
4.764600000E-1,-2.975000000E1,-1.656250000E1,-3.756250000E1
4.964693750E-1,-3.025000000E1,-1.656250000E1,-3.687500000E1
5.264615630E-1,-3.081250000E1,-1.643750000E1,-3.656250000E1
5.464678130E-1,-3.075000000E1,-1.618750000E1,-3.625000000E1
5.764600000E-1,-3.100000000E1,-1.575000000E1,-3.587500000E1
5.964615630E-1,-3.137500000E1,-1.550000000E1,-3.581250000E1
6.264600000E-1,-3.150000000E1,-1.487500000E1,-3.568750000E1
6.464600000E-1,-3.193750000E1,-1.468750000E1,-3.543750000E1
6.664600000E-1,-3.225000000E1,-1.456250000E1,-3.568750000E1
6.864615630E-1,-3.231250000E1,-1.450000000E1,-3.550000000E1
7.164615630E-1,-3.275000000E1,-1.412500000E1,-3.562500000E1
7.364615630E-1,-3.300000000E1,-1.381250000E1,-3.593750000E1
7.664615630E-1,-3.331250000E1,-1.356250000E1,-3.612500000E1
7.964600000E-1,-3.350000000E1,-1.325000000E1,-3.612500000E1
8.164615630E-1,-3.337500000E1,-1.293750000E1,-3.606250000E1
8.464600000E-1,-3.368750000E1,-1.212500000E1,-3.575000000E1
8.664600000E-1,-3.375000000E1,-1.206250000E1,-3.562500000E1
8.864615630E-1,-3.381250000E1,-1.175000000E1,-3.543750000E1
9.164600000E-1,-3.400000000E1,-1.143750000E1,-3.512500000E1
9.364600000E-1,-3.400000000E1,-1.137500000E1,-3.506250000E1
9.564615630E-1,-3.400000000E1,-1.100000000E1,-3.493750000E1
9.864600000E-1,-3.450000000E1,-1.087500000E1,-3.506250000E1
1.006460000E0,-3.468750000E1,-1.093750000E1,-3.506250000E1
1.026461563E0,-3.493750000E1,-1.087500000E1,-3.512500000E1
1.056460000E0,-3.506250000E1,-1.118750000E1,-3.487500000E1
1.076460000E0,-3.512500000E1,-1.118750000E1,-3.468750000E1
1.096461563E0,-3.493750000E1,-1.100000000E1,-3.475000000E1
1.126460000E0,-3.456250000E1,-1.075000000E1,-3.462500000E1
1.146460000E0,-3.468750000E1,-1.043750000E1,-3.456250000E1
1.166460000E0,-3.443750000E1,-1.000000000E1,-3.475000000E1
1.186460000E0,-3.443750000E1,-1.006250000E1,-3.468750000E1
1.206460000E0,-3.456250000E1,-9.687500000E0,-3.443750000E1
1.226460000E0,-3.481250000E1,-9.312500000E0,-3.443750000E1
1.246474063E0,-3.475000000E1,-9.187500000E0,-3.468750000E1
1.276460000E0,-3.512500000E1,-8.937500000E0,-3.475000000E1
1.296460000E0,-3.506250000E1,-9.125000000E0,-3.493750000E1
1.316461563E0,-3.493750000E1,-9.187500000E0,-3.500000000E1
1.346460000E0,-3.500000000E1,-9.187500000E0,-3.493750000E1
1.366460000E0,-3.493750000E1,-8.625000000E0,-3.500000000E1
1.386460000E0,-3.525000000E1,-8.250000000E0,-3.512500000E1
1.406460000E0,-3.525000000E1,-8.062500000E0,-3.500000000E1
1.426461563E0,-3.487500000E1,-7.875000000E0,-3.506250000E1
1.446461563E0,-3.493750000E1,-7.937500000E0,-3.506250000E1
1.476461563E0,-3.456250000E1,-7.750000000E0,-3.512500000E1
1.496461563E0,-3.437500000E1,-7.375000000E0,-3.556250000E1
1.526461563E0,-3.456250000E1,-6.812500000E0,-3.550000000E1
1.556461563E0,-3.493750000E1,-6.375000000E0,-3.550000000E1
1.586460000E0,-3.550000000E1,-6.187500000E0,-3.506250000E1
1.606461563E0,-3.562500000E1,-6.187500000E0,-3.481250000E1
1.626461563E0,-3.593750000E1,-6.062500000E0,-3.475000000E1
1.646461563E0,-3.612500000E1,-6.125000000E0,-3.450000000E1
1.666461563E0,-3.606250000E1,-6.062500000E0,-3.462500000E1
1.686461563E0,-3.600000000E1,-6.125000000E0,-3.437500000E1
1.706461563E0,-3.593750000E1,-6.062500000E0,-3.412500000E1
1.736469375E0,-3.625000000E1,-5.812500000E0,-3.375000000E1
1.766460000E0,-3.668750000E1,-5.812500000E0,-3.312500000E1
1.786460000E0,-3.700000000E1,-5.812500000E0,-3.331250000E1
1.806461563E0,-3.706250000E1,-5.625000000E0,-3.306250000E1
1.836461563E0,-3.712500000E1,-5.812500000E0,-3.300000000E1
1.866460000E0,-3.712500000E1,-5.562500000E0,-3.287500000E1
1.886461563E0,-3.743750000E1,-5.562500000E0,-3.256250000E1
1.916460000E0,-3.743750000E1,-5.125000000E0,-3.237500000E1
