"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211083641E1,1.189554098E2,7.622835910E0,2.574194968E-1,3.118774414E2,1.767713928E1,1.767713928E1
1.010784896E0,3.211079693E1,1.189554724E2,5.475011542E0,5.696352199E-2,5.517491913E1,2.332601166E1,2.332601166E1
2.015310417E0,3.211088280E1,1.189554978E2,4.055632297E0,1.099481061E-1,1.524952545E2,2.184732819E1,2.184732819E1
2.674091146E0,3.211085946E1,1.189554677E2,1.611352858E0,8.647617698E-2,1.059707031E2,1.827673340E1,1.827673340E1
3.677507812E0,3.211089547E1,1.189554747E2,6.567312578E0,5.255919695E-1,7.001016235E1,6.360937119E0,6.360937119E0
4.677864062E0,3.211086927E1,1.189555419E2,5.796941578E-1,7.543696761E-1,7.840438843E1,5.171781540E0,5.171781540E0
5.679398958E0,3.211087309E1,1.189555532E2,1.547497151E0,7.620624304E-1,7.840438843E1,4.699999809E0,4.699999809E0
6.688325520E0,3.211084786E1,1.189555504E2,1.630663016E0,1.427215457E0,1.810283966E2,4.699999809E0,4.699999809E0
7.700882812E0,3.211082179E1,1.189555523E2,1.630609295E0,9.990507960E-1,1.810283966E2,4.699999809E0,4.699999809E0
8.700107811E0,3.211080799E1,1.189555451E2,6.223770173E0,1.123905778E0,2.560195007E2,4.699999809E0,4.699999809E0
9.688932811E0,3.211080334E1,1.189555356E2,7.492256859E0,1.651338220E0,2.995751038E2,4.699999809E0,4.699999809E0
1.069113594E1,3.211079976E1,1.189555271E2,8.395923790E0,1.476375103E0,3.365145264E2,4.699999809E0,4.699999809E0
1.170419271E1,3.211079898E1,1.189555324E2,8.273678911E0,8.263504505E-1,8.398761749E1,4.699999809E0,4.699999809E0
1.269457135E1,3.211079676E1,1.189555402E2,8.212245675E0,1.012231708E0,2.091071777E2,4.900000095E0,4.900000095E0
1.369229375E1,3.211078677E1,1.189555334E2,8.023141579E0,1.149590850E0,1.163518219E2,4.699999809E0,4.699999809E0
1.469084844E1,3.211078057E1,1.189555403E2,7.971481478E0,1.242786884E0,8.705711365E1,4.699999809E0,4.699999809E0
1.568061042E1,3.211077982E1,1.189555476E2,7.797201391E0,1.294761896E0,7.181922150E1,4.900000095E0,4.900000095E0
1.670108541E1,3.211078153E1,1.189555552E2,7.833513313E0,1.330768108E0,4.812442398E1,4.900000095E0,4.900000095E0
1.770130885E1,3.211078614E1,1.189555567E2,7.896682889E0,1.365263343E0,4.895572662E1,4.900000095E0,4.900000095E0
1.871306354E1,3.211078186E1,1.189555420E2,7.601721336E0,4.949693680E-1,4.636313629E1,4.900000095E0,4.900000095E0
1.968979375E1,3.211078186E1,1.189555420E2,7.601721336E0,3.464785516E-1,5.357942200E1,4.900000095E0,4.900000095E0
2.070272708E1,3.211078186E1,1.189555420E2,7.601721336E0,2.425349951E-1,5.357942200E1,4.900000095E0,4.900000095E0
2.169901562E1,3.211078186E1,1.189555420E2,7.601721336E0,2.238911688E-1,9.467465973E1,4.900000095E0,4.900000095E0
