"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.150733331E-2,-1.522946785E-1,-1.507318640E-1,-5.188552537E0
3.159233334E-2,-2.466595298E-1,-3.124108851E-1,-4.307901633E0
5.167633336E-2,3.508760624E-1,-4.048486403E-1,-2.401150337E0
7.176133333E-2,6.872500066E-1,-5.444634855E-1,-9.584229648E-1
9.184633335E-2,6.261661913E-1,-5.434577644E-1,-1.188803262E-1
1.119313333E-1,4.775372784E-1,-6.513348001E-1,4.947598135E-1
1.320162083E-1,5.902106389E-1,-5.421406791E-1,1.189109071E0
1.521012083E-1,3.557353909E-1,-3.218123308E-1,5.470842075E-1
1.721862084E-1,4.949127182E-2,-1.719534561E-1,-2.558367348E-1
1.922712083E-1,-3.116565943E-4,2.201769054E-2,-1.091704398E-1
2.123552084E-1,-2.577481896E-1,1.061623397E-1,7.549340129E-1
2.324402083E-1,-2.223606943E-1,2.255481577E-1,1.421589687E0
2.525252083E-1,-7.712901369E-2,1.004801325E0,2.310720223E0
2.726102084E-1,8.185846098E-1,1.236530575E0,1.627479506E0
2.926952083E-1,2.116631840E0,1.827335875E0,1.498787552E0
3.127802084E-1,2.389556039E0,5.606702131E-1,4.508062350E0
3.328652083E-1,1.557592415E0,-6.125127965E-1,6.617207415E0
3.529492083E-1,1.052467535E0,-1.251583062E0,5.740919119E0
3.730342083E-1,1.185965754E0,-8.222635317E-1,2.743616495E0
3.931192083E-1,1.461456589E0,-6.748201418E-1,5.891315353E-1
4.132042084E-1,1.663097820E0,-7.685094935E-1,-5.861471164E-1
4.332892083E-1,1.600559949E0,-9.732228523E-1,-3.029190999E-1
4.533742084E-1,1.476860201E0,-9.885791025E-1,-2.203464746E-1
4.734592083E-1,1.138142400E0,-9.146229342E-1,-1.648128948E0
4.935442084E-1,7.326340480E-1,-7.801770276E-1,-3.868677505E0
5.136282084E-1,-1.906528518E-2,-5.683528697E-1,-5.493893554E0
5.337132083E-1,-5.025572218E-1,-3.619145823E-1,-5.726939596E0
5.537982084E-1,-5.278566621E-1,-2.160476017E-1,-4.680738230E0
5.738832083E-1,-2.488123284E-1,-1.213367414E-1,-3.394562455E0
5.939682084E-1,1.725250214E-1,9.576979101E-2,-2.553564445E0
6.140532083E-1,4.585660603E-2,3.039806619E-1,-1.198858134E0
6.341382083E-1,-4.030675784E-1,3.823792523E-1,-1.625379771E-1
6.542222084E-1,-4.746844219E-1,7.851220179E-1,5.793491435E-1
6.743072083E-1,-3.475491428E-1,1.330847917E0,6.714597470E-1
6.943922084E-1,-4.483396456E-1,1.649398379E0,9.731889385E-1
7.144772083E-1,-2.213466409E-1,2.135719491E0,1.620952844E0
7.345622084E-1,7.573433581E-1,2.186703703E0,1.720411059E0
7.546472083E-1,7.570815490E-1,2.284119485E0,2.096868836E0
7.747322083E-1,4.118047804E-3,2.577832144E0,1.825011899E0
7.948172084E-1,-2.482613745E-1,2.557826188E0,3.165308332E-1
8.149012083E-1,-2.321626742E-1,7.956876442E-1,3.874375616E0
8.349862084E-1,-9.821829794E-1,-1.225322047E0,7.309056988E0
8.550712083E-1,-1.932321317E0,-1.812734501E0,5.568250841E0
8.751562083E-1,-2.003088121E0,-1.039004321E0,1.561677280E0
8.952412083E-1,-1.734311060E0,-5.375941765E-1,-4.473763168E-2
9.153262083E-1,-1.568328342E0,-5.496485040E-1,-4.205019289E-1
9.354112084E-1,-1.169586826E0,-8.764227819E-1,-3.852543283E-1
9.554952083E-1,-8.043923941E-1,-9.958343276E-1,-8.161613774E-1
9.755802084E-1,-4.842965135E-1,-7.609695089E-1,-1.702512732E0
9.956652083E-1,-3.570229478E-1,-5.822248042E-1,-2.671170663E0
1.015750208E0,-4.289217733E-1,-4.342458093E-1,-3.058549284E0
1.035835208E0,-5.868737791E-1,-5.267727345E-1,-3.257640545E0
1.055920208E0,-5.726494404E-1,-2.341432723E-1,-3.625977709E0
1.076005208E0,-1.740530451E-1,-2.218959868E-1,-3.730047623E0
1.096090208E0,-2.794381437E-1,-9.016348064E-2,-3.378522373E0
1.116174083E0,-2.641946717E-1,-1.803950813E-1,-2.225102368E0
1.136259083E0,-2.434925316E-1,-5.360113353E-1,-1.007117407E0
1.156344083E0,-2.354643776E-1,-7.140757164E-1,-8.066467881E-2
1.176429083E0,-2.060301518E-1,-5.570887935E-1,7.020020932E-1
1.196514083E0,-1.891378382E-1,-5.904977372E-1,9.198477137E-1
1.216599083E0,2.046619765E-1,-7.070882937E-1,1.630774412E0
1.236683083E0,5.296188667E-1,-5.393509725E-1,2.006057484E0
1.256768083E0,1.378554180E-1,-6.191148877E-1,2.637681904E0
1.276853083E0,-1.331185886E-1,-5.821765646E-1,3.381531935E0
1.296938083E0,4.107708465E-1,2.043259808E-1,3.078816319E0
1.317023083E0,1.387061294E0,9.583320406E-1,9.867065316E-1
1.337108083E0,2.070060083E0,1.165974562E0,1.059831226E0
1.357193083E0,1.916855578E0,-1.466046068E-1,3.884925748E0
1.377277083E0,1.321003691E0,-9.166215125E-1,4.691847355E0
1.397362083E0,1.393540155E0,-7.465090522E-1,3.228466448E0
1.417447083E0,2.025015034E0,-1.681831715E-1,9.514326185E-1
1.437532083E0,2.049846404E0,4.886518121E-3,-5.688861358E-1
1.457617083E0,2.050231444E0,-2.480368415E-1,-9.527038032E-1
1.477702083E0,1.945453286E0,-6.103051803E-1,-5.774932373E-1
1.497787083E0,1.329529809E0,-9.482303908E-1,-1.187390574E0
1.517871083E0,5.194996753E-1,-8.721022743E-1,-3.001051274E0
1.537956083E0,-1.394458607E-1,-7.193238848E-1,-4.628128492E0
1.558041083E0,-5.817339304E-1,-3.370978296E-1,-5.675068946E0
1.578126083E0,-7.335760345E-1,9.938775569E-2,-5.648919613E0
1.598211083E0,-7.967711332E-1,5.360630831E-1,-4.569731764E0
1.618296083E0,-7.969851413E-1,6.496391076E-1,-3.320198736E0
1.638381083E0,-6.591843948E-1,6.958201244E-1,-1.451073688E0
1.658465083E0,-7.084321301E-1,6.204764119E-1,3.660356998E-2
1.678550083E0,-7.619530106E-1,5.916932005E-1,1.187066054E0
1.698635083E0,-6.273001125E-1,1.034915363E0,1.802908840E0
1.718720083E0,-7.124357186E-1,1.442140019E0,1.545602115E0
1.738805083E0,-9.345875211E-1,1.707338439E0,1.157025983E0
1.758890083E0,-6.794042127E-1,2.070414278E0,1.157901312E0
1.778974083E0,7.317731917E-1,1.980123620E0,1.870385708E0
1.799059083E0,7.167309371E-1,2.041963188E0,3.230437544E0
1.819144083E0,-3.096951458E-1,2.282490451E0,1.570397817E0
1.839229083E0,-8.448633125E-1,2.384788366E0,-5.109817439E-1
1.859314083E0,-4.326047882E-1,8.017544228E-1,2.949782302E0
1.879399083E0,-1.614255589E0,-1.274880708E0,6.199311005E0
1.899484083E0,-2.596460204E0,-2.317626077E0,4.944399124E0
1.919568083E0,-2.532210413E0,-1.544509270E0,1.473626398E0
1.939653083E0,-2.133923372E0,-8.168925717E-1,-8.806316078E-2
1.959738083E0,-2.095821161E0,-5.765945202E-1,-1.015708721E0
1.979823083E0,-1.850503275E0,-6.884587723E-1,-1.153120628E0
1.999908083E0,-1.425944255E0,-7.325181270E-1,-1.242023449E0
2.019993083E0,-1.169876482E0,-7.286858618E-1,-2.029625856E0
2.040077083E0,-1.065024357E0,-6.991831505E-1,-2.778709145E0
2.060162083E0,-1.555910756E0,-1.001627457E0,-3.447345271E0
2.080247083E0,-2.178508830E0,-1.442279475E0,-3.861769604E0
2.100332083E0,-2.225667794E0,-1.492385436E0,-4.267573972E0
2.120417208E0,-2.115729761E0,-1.406056559E0,-4.095683373E0
2.140502208E0,-1.857486312E0,-1.430973299E0,-3.480627038E0
2.160586208E0,-1.740315712E0,-1.573699155E0,-1.780992306E0
2.180671208E0,-1.304116348E0,-1.803013212E0,2.300247860E-1
2.200756208E0,8.238142133E-2,-1.096440351E0,1.335925055E0
