"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.464333327E-3,-3.103047180E-1,3.674708405E0,3.855682068E0
2.154933335E-2,-4.522096252E-1,3.625311127E0,4.336033173E0
4.163433332E-2,2.231858826E-1,3.471431122E0,6.107898560E0
6.171933335E-2,8.331674194E-1,3.358565826E0,7.797135773E0
8.180433331E-2,1.027463379E0,3.351829834E0,8.716523895E0
1.018893333E-1,9.804611206E-1,3.253035278E0,9.252259827E0
1.219732083E-1,1.140927429E0,3.332819366E0,1.010189301E1
1.420582084E-1,1.081501007E0,3.642375641E0,9.759854279E0
1.621432083E-1,8.027806091E-1,3.784729614E0,8.822204132E0
1.822282083E-1,7.538323975E-1,3.949237518E0,8.664282532E0
2.023132084E-1,4.903802490E-1,3.983965302E0,9.559720459E0
2.223982083E-1,3.336561584E-1,3.927083588E0,1.028885422E1
2.424832084E-1,5.037025452E-1,4.399650879E0,1.121617584E1
2.625682083E-1,1.105002136E0,4.917573853E0,1.107247467E1
2.826522083E-1,2.544708252E0,5.204826508E0,1.027089157E1
3.027372083E-1,3.158282318E0,4.353397064E0,1.295840286E1
3.228222083E-1,2.344275055E0,2.823129272E0,1.555415497E1
3.429072084E-1,1.615740051E0,1.883982239E0,1.558035049E1
3.629922083E-1,1.525178375E0,2.198178864E0,1.274090515E1
3.830772084E-1,1.800455933E0,2.476001129E0,1.032986893E1
4.031622083E-1,2.065854034E0,2.456990662E0,8.821006622E0
4.232472084E-1,2.054028625E0,2.227667542E0,8.838669891E0
4.433312083E-1,1.887574768E0,2.138902130E0,9.160800018E0
4.634162083E-1,1.515149231E0,2.308649139E0,8.106392670E0
4.835012084E-1,1.108145599E0,2.508333893E0,5.868097229E0
5.035862083E-1,3.776646423E-1,2.831661530E0,3.998036041E0
5.236712084E-1,-2.423460388E-1,3.103047180E0,3.350782013E0
5.437562083E-1,-3.812571716E-1,3.290158081E0,4.113895111E0
5.638412083E-1,-1.005908203E-1,3.426075439E0,5.479355621E0
5.839252084E-1,3.106040955E-1,3.595523071E0,6.314768372E0
6.040102083E-1,4.752616882E-1,3.924239502E0,7.591613159E0
6.240952084E-1,5.538482666E-3,3.937262421E0,8.723559265E0
6.441802083E-1,-1.654060364E-1,4.240831146E0,9.565109253E0
6.642652084E-1,-7.349716187E-2,4.808301086E0,9.789642334E0
6.843502083E-1,-1.091230774E-1,5.205724640E0,9.921368408E0
7.044352083E-1,-2.305206299E-2,5.678142242E0,1.062146255E1
7.245202083E-1,9.018745422E-1,5.886359253E0,1.079046112E1
7.446042083E-1,1.250200195E0,5.867049408E0,1.099254089E1
7.646892084E-1,3.757186890E-1,6.163283386E0,1.132395172E1
7.847742083E-1,2.320175171E-2,6.152954865E0,9.517957306E0
8.048592084E-1,1.068777466E-1,4.699776764E0,1.182256485E1
8.249442083E-1,-4.441264343E-1,2.496358795E0,1.607192825E1
8.450292083E-1,-1.398841095E0,1.269360352E0,1.589769058E1
