"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.200156200E-2,-7.372999787E-1,5.396000147E-1,2.499599934E0
3.200312500E-2,-1.609399915E0,2.009999938E-2,4.377699852E0
6.200156200E-2,-3.017099857E0,-7.843999863E-1,7.371099949E0
8.200156200E-2,3.833999932E-1,-1.279999971E0,4.541500092E0
1.020015620E-1,9.019999504E-1,-1.001299977E0,4.305299759E0
1.220015620E-1,2.169999838E0,-1.733899951E0,3.667599916E0
1.420015620E-1,2.644099951E0,-2.556299925E0,1.997899890E0
1.720046870E-1,1.268399954E0,-1.380499959E0,1.347999930E0
2.020015620E-1,7.845000029E-1,-6.983999610E-1,1.835899949E0
2.320000000E-1,4.517000020E-1,-1.310299993E0,2.092299938E0
2.520000000E-1,7.735999823E-1,-2.742199898E0,1.937399983E0
2.720046870E-1,1.599099994E0,-3.607499838E0,2.663599968E0
3.020000000E-1,1.291199923E0,-1.035699964E0,2.224699974E0
3.220093750E-1,7.044999599E-1,-7.819999754E-2,1.142499924E0
3.520015620E-1,9.998999834E-1,-7.231000066E-1,7.817999721E-1
3.720046870E-1,1.105999947E0,-7.833999991E-1,9.910999537E-1
4.020000000E-1,7.174999714E-1,3.819999993E-1,3.644999862E-1
4.220015620E-1,4.689999819E-1,4.793999791E-1,7.409999520E-2
4.520000000E-1,-1.439700007E0,2.811000049E-1,1.054799914E0
4.720000000E-1,-7.107999921E-1,-7.009999454E-2,1.862699986E0
4.920000000E-1,3.379999846E-2,-5.200000014E-3,2.325399876E0
5.120031250E-1,-4.166999757E-1,-4.438999891E-1,1.918099999E0
5.420000000E-1,-1.346899986E0,2.633000016E-1,4.933999777E-1
5.620000000E-1,-8.197999597E-1,1.739999950E-1,-7.853999734E-1
5.820000000E-1,2.278999984E-1,1.424999982E-1,6.499999668E-3
6.020000000E-1,9.669999480E-1,-3.029999882E-2,1.128399968E0
6.220000000E-1,-2.534999847E-1,-1.803999990E-1,4.889999926E-1
6.420015620E-1,-1.453000009E-1,1.004999951E-1,2.266999930E-1
6.720000000E-1,4.791999757E-1,-5.076000094E-1,-3.282999992E-1
6.920000000E-1,2.496999949E-1,-5.269999802E-2,-1.937000006E-1
7.120015620E-1,6.137999892E-1,-4.362999797E-1,-1.144199967E0
7.320015620E-1,7.175999880E-1,-9.281999469E-1,-1.621999890E-1
7.520015620E-1,6.372999549E-1,-9.679999948E-1,-1.247799993E0
7.720015620E-1,-1.042999998E-1,-1.047600031E0,-1.695099950E0
8.020000000E-1,-1.177199960E0,-3.614999950E-1,-1.304999948E0
8.220000000E-1,6.300000101E-2,4.820999801E-1,-3.023699999E0
8.420015620E-1,7.910999656E-1,2.910999954E-1,-4.842099667E0
8.620015620E-1,1.430599928E0,3.039999902E-1,-2.674700022E0
8.920000000E-1,6.230999827E-1,1.895999908E-1,-1.391199946E0
9.120000000E-1,3.750999868E-1,7.242000103E-1,-1.738999933E-1
9.320000000E-1,2.426999956E-1,-8.299999833E-1,-1.040899992E0
9.520000000E-1,-1.336300015E0,-1.516000032E-1,-1.511199951E0
9.720000000E-1,-8.991999626E-1,-1.384000033E-1,-2.218299866E0
9.920015620E-1,3.379999846E-2,-3.998999894E-1,-2.167599916E0
1.022000000E0,-9.769999981E-1,-1.766999960E-1,-1.417599916E0
1.042000000E0,-8.757999539E-1,-8.219999820E-2,-7.303000093E-1
1.062001562E0,-1.642999947E-1,-3.088999987E-1,-3.224000037E-1
1.092000000E0,1.322999895E-1,-2.585999966E-1,-3.726999760E-1
1.112000000E0,1.454999894E-1,-4.409999773E-2,-4.176999927E-1
1.132000000E0,2.615000010E-1,-5.869999900E-2,-4.075999856E-1
1.152000000E0,3.643999994E-1,-3.592999876E-1,-3.134000003E-1
1.172000000E0,4.506999850E-1,-8.034999967E-1,-3.190999925E-1
1.192000000E0,4.902999997E-1,-7.249999642E-1,-3.008999825E-1
1.212001562E0,8.490999937E-1,-9.039999843E-1,-5.036999583E-1
1.242000000E0,6.225999594E-1,-8.694999814E-1,-1.117499948E0
1.262000000E0,2.644000053E-1,-5.379999876E-1,-1.860700011E0
1.282000000E0,3.552999794E-1,-4.481999874E-1,-1.697600007E0
1.302000000E0,1.875000000E-1,-6.866999865E-1,-9.470999837E-1
1.322004687E0,2.049999870E-2,-7.849999666E-1,-6.818999648E-1
1.352001562E0,1.759999990E-2,-1.366000026E-1,-1.092199922E0
1.372001562E0,-6.179999933E-2,6.406999826E-1,-1.135200024E0
1.402000000E0,-6.338999867E-1,1.067600012E0,-1.243799925E0
1.422001562E0,-1.990999877E-1,7.680999637E-1,-7.182999849E-1
1.442001562E0,2.888999879E-1,3.947999775E-1,-3.928999901E-1
1.472000000E0,8.138999939E-1,1.744999886E-1,-9.551999569E-1
1.492001562E0,9.912999868E-1,1.537999958E-1,-1.153900027E0
1.522000000E0,8.082999587E-1,5.763999820E-1,-1.140900016E0
1.542000000E0,5.694000125E-1,8.024999499E-1,-1.319499969E0
1.562001562E0,3.845999837E-1,9.109999537E-1,-1.178200006E0
1.592000000E0,6.265000105E-1,8.423999548E-1,-3.385999799E-1
1.612000000E0,7.705999613E-1,6.789999604E-1,-1.108999997E-1
1.632001562E0,7.562999725E-1,4.963999987E-1,-2.868999839E-1
1.662000000E0,3.209999800E-1,4.450999796E-1,-6.273999810E-1
1.682003125E0,3.394999802E-1,6.563000083E-1,-5.771999955E-1
1.712001562E0,5.616999865E-1,6.369000077E-1,-1.752000004E-1
1.742000000E0,1.680999994E-1,5.525999665E-1,-3.000999987E-1
1.762000000E0,1.169999987E-1,5.805000067E-1,-2.502999902E-1
1.782001562E0,1.807999909E-1,5.036999583E-1,9.820000082E-2
1.812000000E0,2.939999998E-1,4.037999809E-1,3.317999840E-1
1.832000000E0,2.707000077E-1,5.099999905E-1,3.039999902E-1
1.852001562E0,-7.880000025E-2,8.731999993E-1,-6.309999526E-2
1.882000000E0,-3.024999797E-1,1.036599994E0,-4.226999879E-1
1.902001562E0,-2.689999901E-2,9.711999893E-1,-9.709999710E-2
1.922001562E0,-4.399999976E-3,7.139999866E-1,1.612000018E-1
1.952000000E0,-3.759000003E-1,3.164999783E-1,2.139999904E-2
1.972000000E0,-3.157999814E-1,1.463999897E-1,1.139999926E-2
1.992001562E0,-9.719999880E-2,1.660999954E-1,-2.188999951E-1
2.022000000E0,8.960999846E-1,2.628000081E-1,-6.035999656E-1
2.042000000E0,4.490999877E-1,4.481999874E-1,-7.421000004E-1
2.062001562E0,1.388999969E-1,1.021999940E-1,-7.193999887E-1
2.092000000E0,4.312999845E-1,-4.600000009E-2,-2.775000036E-1
2.112000000E0,3.865999877E-1,-1.129999943E-2,-2.102999985E-1
2.132001562E0,4.328999817E-1,6.999999750E-3,-1.507999897E-1
2.162000000E0,8.170999885E-1,-4.769999906E-2,2.232999951E-1
2.182000000E0,7.049999833E-1,1.999999949E-4,-1.445000023E-1
2.202001562E0,8.253999949E-1,-8.229999989E-2,-3.102000058E-1
2.232000000E0,7.078999877E-1,-7.989999652E-2,-1.067199945E0
2.252000000E0,7.146999836E-1,4.629999772E-2,-8.323999643E-1
2.272001562E0,1.022400022E0,2.549999952E-2,8.699999750E-2
2.302000000E0,1.202999949E-1,-5.539999902E-2,4.339999706E-2
2.322000000E0,-5.350000039E-2,-6.399999838E-3,3.599999938E-3
2.342001562E0,2.818999887E-1,1.902999878E-1,1.115999967E-1
2.372000000E0,7.809000015E-1,2.978999913E-1,-4.289999977E-2
2.392000000E0,3.937999904E-1,4.127999842E-1,-1.410999894E-1
2.412000000E0,6.700000167E-2,2.326999903E-1,-3.130999804E-1
2.432000000E0,3.461000025E-1,3.590000048E-2,-5.307999849E-1
2.452000000E0,2.852999866E-1,-7.490000129E-2,-6.261000037E-1
2.472000000E0,1.516000032E-1,-3.668999970E-1,-6.992999911E-1
2.492001562E0,2.039999962E-1,-7.459999919E-1,-7.167999744E-1
2.522000000E0,7.827000022E-1,-1.314000010E0,-1.241500020E0
2.542000000E0,-1.692799926E0,-1.669899940E0,-2.997699976E0
2.562001562E0,-1.854499936E0,-1.639699936E0,-3.138499975E0
2.592000000E0,-1.945099950E0,-2.501199961E0,-3.729499817E0
2.612000000E0,-3.321599960E0,-3.808699846E0,-4.178499699E0
2.632001562E0,-2.705199957E0,-5.032899857E0,-4.844199657E0
2.662000000E0,-2.697299957E0,-5.178400040E0,-3.426999807E0
2.682000000E0,-3.025699854E0,-5.578899860E0,-4.280699730E0
2.702001562E0,-2.625900030E0,-6.217000008E0,-4.423399925E0
2.732000000E0,-2.484999895E0,-6.514199734E0,-3.687500000E0
2.752000000E0,-1.605599999E0,-5.452600002E0,-3.093899965E0
2.772001562E0,1.013599992E0,-5.710299969E0,-3.206899881E0
2.792001562E0,2.851799965E0,-4.889899731E0,-2.013099909E0
2.822000000E0,4.215399742E0,-2.448199987E0,-1.832299948E0
2.842000000E0,3.815299988E0,-1.789499998E0,4.840999842E-1
2.862001562E0,7.537099838E0,-2.525499821E0,3.827399969E0
2.892000000E0,5.544399738E0,-2.107300043E0,7.342599869E0
2.912000000E0,2.895200014E0,-1.231899977E0,3.839299917E0
2.932001562E0,5.873899937E0,4.174000025E-1,3.311899900E0
2.962000000E0,7.336699963E0,-4.940999746E-1,7.625599861E0
2.982000000E0,4.316999912E0,-9.606999755E-1,8.273099899E0
3.002001562E0,6.200699806E0,7.799999714E-1,-3.382399797E0
3.032000000E0,1.112969971E1,-1.024999991E-1,-9.828800201E0
3.052000000E0,1.400119972E1,-2.126999944E-1,-1.485000014E0
3.072001562E0,1.102979946E1,-2.602699995E0,-6.447199821E0
3.102000000E0,7.478799820E0,-2.481999993E-1,-3.094899893E0
3.122000000E0,8.256899834E0,8.599999361E-3,1.625399947E0
3.142001562E0,4.107699871E0,3.039399862E0,-1.181999922E0
3.172000000E0,-1.431100011E0,5.065000057E0,-9.979999810E-2
3.192000000E0,-4.100599766E0,6.794600010E0,-9.621999860E-1
3.212001562E0,-5.028899670E0,6.756099701E0,-1.544799924E0
3.242000000E0,-2.255300045E0,4.429599762E0,-7.006999850E-1
