"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.856461562E0,-3.200000000E1,3.125000000E-1,-3.868750000E1
1.886460000E0,-3.225000000E1,3.750000000E-1,-3.850000000E1
1.906461562E0,-3.256250000E1,9.375000000E-1,-3.856250000E1
1.926461562E0,-3.237500000E1,1.250000000E0,-3.862500000E1
1.956460000E0,-3.231250000E1,1.500000000E0,-3.856250000E1
1.976460000E0,-3.212500000E1,1.625000000E0,-3.837500000E1
1.996461562E0,-3.237500000E1,1.312500000E0,-3.818750000E1
2.026460000E0,-3.293750000E1,1.250000000E0,-3.800000000E1
2.046460000E0,-3.325000000E1,1.375000000E0,-3.793750000E1
2.066461562E0,-3.312500000E1,1.437500000E0,-3.793750000E1
2.096460000E0,-3.225000000E1,2.062500000E0,-3.800000000E1
2.116460000E0,-3.206250000E1,2.250000000E0,-3.812500000E1
2.136461562E0,-3.150000000E1,2.625000000E0,-3.850000000E1
2.166460000E0,-3.112500000E1,3.062500000E0,-3.893750000E1
2.186460000E0,-3.137500000E1,3.187500000E0,-3.900000000E1
2.206461562E0,-3.125000000E1,3.187500000E0,-3.900000000E1
2.236460000E0,-3.093750000E1,2.937500000E0,-3.900000000E1
2.256460000E0,-3.068750000E1,3.187500000E0,-3.925000000E1
2.276461562E0,-3.043750000E1,3.375000000E0,-3.931250000E1
2.306460000E0,-3.037500000E1,3.687500000E0,-3.975000000E1
2.326460000E0,-3.012500000E1,3.500000000E0,-4.025000000E1
2.346461562E0,-2.993750000E1,3.812500000E0,-4.043750000E1
2.376460000E0,-2.987500000E1,3.750000000E0,-4.075000000E1
2.396460000E0,-3.006250000E1,3.750000000E0,-4.075000000E1
2.416460000E0,-3.025000000E1,4.125000000E0,-4.056250000E1
2.436460000E0,-3.037500000E1,4.062500000E0,-4.056250000E1
2.456460000E0,-3.037500000E1,4.187500000E0,-4.037500000E1
2.476460000E0,-3.031250000E1,4.437500000E0,-4.031250000E1
2.496461562E0,-3.025000000E1,4.500000000E0,-4.018750000E1
2.526460000E0,-3.125000000E1,4.812500000E0,-3.950000000E1
2.546460000E0,-3.168750000E1,4.875000000E0,-3.868750000E1
2.566461562E0,-3.231250000E1,5.062500000E0,-3.812500000E1
2.596460000E0,-3.356250000E1,6.000000000E0,-3.731250000E1
2.616460000E0,-3.318750000E1,7.062500000E0,-3.706250000E1
2.636461562E0,-3.262500000E1,9.187500000E0,-3.768750000E1
2.666460000E0,-3.125000000E1,1.237500000E1,-3.750000000E1
2.686460000E0,-3.162500000E1,1.425000000E1,-3.643750000E1
2.706461562E0,-3.231250000E1,1.643750000E1,-3.468750000E1
2.736460000E0,-3.193750000E1,2.018750000E1,-3.256250000E1
2.756460000E0,-3.187500000E1,2.331250000E1,-3.056250000E1
2.776461562E0,-3.212500000E1,2.650000000E1,-2.756250000E1
2.796461562E0,-3.175000000E1,2.987500000E1,-2.437500000E1
2.826460000E0,-2.850000000E1,3.518750000E1,-2.062500000E1
2.846460000E0,-2.581250000E1,3.856250000E1,-1.781250000E1
2.866461562E0,-2.300000000E1,4.118750000E1,-1.331250000E1
2.896460000E0,-1.918750000E1,4.356250000E1,-7.375000000E0
2.916460000E0,-1.587500000E1,4.443750000E1,-5.437500000E0
2.936461562E0,-1.187500000E1,4.506250000E1,-4.437500000E0
2.966460000E0,-7.250000000E0,4.543750000E1,-3.812500000E0
2.986460000E0,-4.750000000E0,4.562500000E1,-4.375000000E0
3.006461562E0,-3.625000000E0,4.556250000E1,-5.375000000E0
3.036460000E0,-1.625000000E0,4.593750000E1,-6.312500000E0
3.056460000E0,-6.250000000E-1,4.631250000E1,-6.812500000E0
3.076461562E0,-5.625000000E-1,4.650000000E1,-8.187500000E0
3.106460000E0,-2.500000000E-1,4.637500000E1,-1.018750000E1
3.126460000E0,-7.500000000E-1,4.612500000E1,-1.162500000E1
3.146461562E0,-1.875000000E0,4.568750000E1,-1.268750000E1
3.176460000E0,-3.375000000E0,4.525000000E1,-1.387500000E1
3.196460000E0,-4.500000000E0,4.493750000E1,-1.450000000E1
