"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668856938139784E9,"2022-11-19 19:22:18.140 UTC+08:00"
"PAUSE",1.506132101666881E2,1.668857088749108E9,"2022-11-19 19:24:48.749 UTC+08:00"
