"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211401951E1,1.189520188E2,5.276362216E0,6.055830717E-1,2.247436523E2,4.935595989E0,4.935595989E0
4.823505200E-1,3.211401951E1,1.189520188E2,5.276362216E0,6.055830717E-1,2.247436523E2,4.935595989E0,4.935595989E0
1.064106249E0,3.211409709E1,1.189518644E2,2.438572096E1,6.979363561E-1,2.719171143E2,2.375244331E1,2.375244331E1
2.069970833E0,3.211407953E1,1.189519050E2,9.513177864E0,5.497072339E-1,2.416295471E2,1.875297356E1,1.875297356E1
3.065086978E0,3.211400944E1,1.189519533E2,1.643634810E1,9.076576829E-1,1.917633362E2,1.549924660E1,1.549924660E1
4.463670832E0,3.211397558E1,1.189519685E2,1.344603745E1,1.374707341E0,1.794259033E2,8.163619995E0,8.163619995E0
5.474093228E0,3.211395741E1,1.189519957E2,1.097056573E1,1.408934593E0,1.729759674E2,8.043951988E0,8.043951988E0
6.470151561E0,3.211392369E1,1.189519558E2,1.121177864E1,2.258337259E0,1.440795288E2,7.414110184E0,7.414110184E0
7.468481248E0,3.211387394E1,1.189519790E2,1.275826295E1,2.560300112E0,1.440795288E2,6.286628723E0,6.286628723E0
8.481398436E0,3.211385525E1,1.189519862E2,1.027572126E1,2.561188221E0,1.440795288E2,5.380926132E0,5.380926132E0
9.477801561E0,3.211383450E1,1.189519984E2,8.443377369E0,2.138057470E0,1.440795288E2,4.699999809E0,4.699999809E0
1.048431510E1,3.211380946E1,1.189520146E2,8.210185550E0,1.434864998E0,1.355233459E2,4.699999809E0,4.699999809E0
1.147667135E1,3.211372891E1,1.189520237E2,2.067896077E1,2.097725391E0,1.503855896E2,4.269288540E0,4.269288540E0
1.248607500E1,3.211370483E1,1.189520344E2,2.030409987E1,2.369395494E0,1.551118622E2,4.389636040E0,4.389636040E0
1.347960312E1,3.211367755E1,1.189520409E2,2.050797646E1,2.606175900E0,1.648057861E2,4.842746258E0,4.842746258E0
1.447290312E1,3.211365057E1,1.189520437E2,1.954811712E1,2.767441273E0,1.707272797E2,4.699999809E0,4.699999809E0
1.548431875E1,3.211362205E1,1.189520439E2,1.905745776E1,2.540730000E0,1.648392944E2,4.699999809E0,4.699999809E0
1.648648437E1,3.211362005E1,1.189520534E2,1.909035681E1,2.660490751E0,1.673849945E2,4.699999809E0,4.699999809E0
1.747747135E1,3.211359814E1,1.189520517E2,1.916572769E1,2.492133141E0,1.543927460E2,4.699999809E0,4.699999809E0
1.848479687E1,3.211356990E1,1.189520524E2,1.926480280E1,2.634941578E0,1.450911255E2,4.699999809E0,4.699999809E0
1.947535573E1,3.211354251E1,1.189520572E2,1.921021031E1,2.732677698E0,1.469027863E2,4.699999809E0,4.699999809E0
2.048302656E1,3.211351465E1,1.189520590E2,1.920509564E1,2.495589733E0,1.389649658E2,4.945308685E0,4.945308685E0
2.147746823E1,3.211349969E1,1.189520716E2,1.922840570E1,2.461189270E0,8.917108917E1,4.756499290E0,4.756499290E0
2.247286354E1,3.211350170E1,1.189520937E2,1.911782412E1,2.409693480E0,1.058670349E2,4.699999809E0,4.699999809E0
2.347047968E1,3.211349411E1,1.189521156E2,1.912407901E1,2.119979858E0,1.377277069E2,4.900000095E0,4.900000095E0
2.447512135E1,3.211347348E1,1.189521052E2,1.915959673E1,1.518694878E0,1.270710297E2,4.900000095E0,4.900000095E0
2.547572760E1,3.211346138E1,1.189521068E2,1.929420073E1,1.307524204E0,1.431208649E2,4.900000095E0,4.900000095E0
2.647698072E1,3.211345153E1,1.189521141E2,1.926231086E1,1.098568559E0,1.430195007E2,4.699999809E0,4.699999809E0
2.746639843E1,3.211344398E1,1.189521205E2,1.934664478E1,9.239978790E-1,9.208459473E1,4.699999809E0,4.699999809E0
2.847469895E1,3.211344330E1,1.189521277E2,1.936003137E1,8.165749907E-1,9.237222290E1,4.699999809E0,4.699999809E0
2.947875208E1,3.211344330E1,1.189521277E2,1.936003137E1,5.716025233E-1,9.237222290E1,4.699999809E0,4.699999809E0
3.047388906E1,3.211344330E1,1.189521277E2,1.936003137E1,4.001217484E-1,9.237222290E1,4.699999809E0,4.699999809E0
3.147517239E1,3.211344330E1,1.189521277E2,1.936003137E1,2.800852358E-1,9.237222290E1,4.699999809E0,4.699999809E0
3.246713177E1,3.211344330E1,1.189521277E2,1.936003137E1,1.960596591E-1,9.237222290E1,4.699999809E0,4.699999809E0
3.347348854E1,3.211344330E1,1.189521277E2,1.936003137E1,1.372417659E-1,9.237222290E1,4.699999809E0,4.699999809E0
3.447067864E1,3.211344330E1,1.189521277E2,1.936003137E1,9.606923163E-2,9.237222290E1,4.900000095E0,4.900000095E0
3.546991510E1,3.211344330E1,1.189521277E2,1.936003137E1,6.724846363E-2,9.902139282E1,5.243392944E0,5.243392944E0
3.646505729E1,3.211344330E1,1.189521277E2,1.936003137E1,4.707392305E-2,9.902139282E1,4.900000095E0,4.900000095E0
