"Time (s)","Pressure (hPa)"
1.444600000E-1,1.017709473E3
2.244615620E-1,1.017707031E3
3.044615620E-1,1.017731445E3
3.844600000E-1,1.017737305E3
4.644600000E-1,1.017719727E3
5.444693750E-1,1.017727539E3
6.244600000E-1,1.017729004E3
7.044600000E-1,1.017717285E3
7.844600000E-1,1.017739746E3
8.644600000E-1,1.017740723E3
9.444615620E-1,1.017744629E3
1.024461562E0,1.017756348E3
1.104460000E0,1.017755371E3
1.184460000E0,1.017767090E3
1.264460000E0,1.017765625E3
1.344460000E0,1.017780762E3
1.424461562E0,1.017776367E3
1.504460000E0,1.017770020E3
1.584461562E0,1.017775879E3
1.664460000E0,1.017783691E3
1.744461562E0,1.017812500E3
1.824460000E0,1.017841797E3
1.904460000E0,1.017870605E3
1.984460000E0,1.017853516E3
2.064460000E0,1.017824707E3
2.144460000E0,1.017826660E3
2.224461562E0,1.017852539E3
2.304460000E0,1.017853516E3
2.384460000E0,1.017851074E3
2.464460000E0,1.017874512E3
2.544463125E0,1.017845703E3
2.624460000E0,1.017816895E3
2.704460000E0,1.017788086E3
2.784461562E0,1.017803223E3
2.864461562E0,1.017781738E3
2.944461562E0,1.017811035E3
3.024461562E0,1.017799316E3
3.104460000E0,1.017770508E3
3.184460000E0,1.017786621E3
3.264460000E0,1.017783203E3
3.344460000E0,1.017791016E3
3.424466250E0,1.017811523E3
3.504460000E0,1.017806152E3
3.584461562E0,1.017777344E3
3.664466250E0,1.017784668E3
3.744460000E0,1.017783203E3
3.824460000E0,1.017780273E3
3.904461562E0,1.017791504E3
3.984460000E0,1.017813965E3
4.064460000E0,1.017784668E3
4.144460000E0,1.017763672E3
4.224461562E0,1.017791992E3
4.304461562E0,1.017794434E3
4.384461562E0,1.017819336E3
4.464460000E0,1.017832520E3
4.544460000E0,1.017803711E3
4.624460000E0,1.017784180E3
4.704460000E0,1.017802734E3
4.784460000E0,1.017791016E3
4.864460000E0,1.017786621E3
4.944460000E0,1.017759277E3
5.024461562E0,1.017788086E3
5.104460000E0,1.017802734E3
5.184460000E0,1.017802734E3
5.264460000E0,1.017802734E3
5.344460000E0,1.017778809E3
5.424460000E0,1.017807617E3
5.504460000E0,1.017810547E3
5.584460000E0,1.017781250E3
5.664461562E0,1.017810547E3
5.744461562E0,1.017839355E3
5.824460000E0,1.017810547E3
5.904460000E0,1.017810547E3
5.984460000E0,1.017796387E3
6.064460000E0,1.017797363E3
6.144460000E0,1.017769531E3
6.224461562E0,1.017750000E3
6.304461562E0,1.017750000E3
6.384467812E0,1.017778809E3
6.464460000E0,1.017774902E3
6.544461562E0,1.017775879E3
6.624460000E0,1.017804688E3
6.704460000E0,1.017830078E3
6.784467812E0,1.017828613E3
6.864461562E0,1.017799805E3
6.944461562E0,1.017799805E3
7.024467812E0,1.017814453E3
7.104503750E0,1.017804688E3
7.184460000E0,1.017804688E3
7.264463125E0,1.017804688E3
7.344460000E0,1.017804688E3
7.424460000E0,1.017812012E3
7.504460000E0,1.017788086E3
7.584461562E0,1.017788086E3
7.664461562E0,1.017817383E3
7.744460000E0,1.017802734E3
7.824460000E0,1.017791504E3
7.904463125E0,1.017820312E3
7.984460000E0,1.017820312E3
8.064461562E0,1.017814453E3
8.144460000E0,1.017803711E3
8.224460000E0,1.017774902E3
8.304461562E0,1.017803711E3
8.384460000E0,1.017821289E3
8.464460000E0,1.017791992E3
8.544460000E0,1.017791992E3
8.624460000E0,1.017806641E3
8.704460000E0,1.017778809E3
8.784460000E0,1.017807617E3
8.864460000E0,1.017788086E3
8.944461562E0,1.017781250E3
9.024461562E0,1.017810059E3
9.104460000E0,1.017810059E3
9.184460000E0,1.017781250E3
9.264461562E0,1.017802734E3
9.344460000E0,1.017773926E3
9.424460000E0,1.017777832E3
9.504461562E0,1.017800781E3
9.584461562E0,1.017773438E3
9.664461562E0,1.017751465E3
9.744461562E0,1.017780273E3
9.824460000E0,1.017809082E3
9.904460000E0,1.017801758E3
9.984460000E0,1.017772949E3
1.006446156E1,1.017744141E3
1.014446000E1,1.017744141E3
1.022446000E1,1.017771484E3
1.030446156E1,1.017756348E3
1.038446156E1,1.017727539E3
1.046446000E1,1.017756348E3
1.054446000E1,1.017785645E3
1.062446000E1,1.017770996E3
1.070446000E1,1.017770996E3
1.078446000E1,1.017742188E3
1.086446000E1,1.017748047E3
1.094446156E1,1.017756836E3
1.102446156E1,1.017728027E3
1.110446156E1,1.017756836E3
1.118446000E1,1.017785645E3
1.126446000E1,1.017792969E3
1.134446000E1,1.017779297E3
1.142446000E1,1.017750488E3
1.150446000E1,1.017753418E3
1.158446156E1,1.017765625E3
1.166446156E1,1.017736816E3
1.174446156E1,1.017727051E3
1.182446000E1,1.017755859E3
1.190446000E1,1.017784668E3
1.198446000E1,1.017756348E3
1.206446000E1,1.017785156E3
1.214446000E1,1.017765625E3
1.222446000E1,1.017778809E3
1.230446156E1,1.017750000E3
1.238446156E1,1.017727539E3
1.246446000E1,1.017756348E3
1.254446000E1,1.017785645E3
1.262446000E1,1.017785156E3
1.270446000E1,1.017756348E3
1.278446000E1,1.017727539E3
1.286446000E1,1.017736328E3
1.294446000E1,1.017750488E3
1.302446156E1,1.017760254E3
1.310446156E1,1.017755859E3
1.318446000E1,1.017785156E3
1.326446000E1,1.017783203E3
1.334446000E1,1.017754395E3
1.342446000E1,1.017768555E3
1.350446000E1,1.017739746E3
1.358446000E1,1.017739746E3
1.366446000E1,1.017733398E3
1.374446313E1,1.017705078E3
1.382446000E1,1.017718262E3
1.390446000E1,1.017747559E3
1.398446625E1,1.017770020E3
1.406446156E1,1.017741211E3
1.414446000E1,1.017720703E3
1.422446313E1,1.017725098E3
1.430446156E1,1.017753906E3
1.438446156E1,1.017741211E3
1.446446156E1,1.017721680E3
1.454446000E1,1.017750488E3
1.462446000E1,1.017779297E3
1.470446000E1,1.017765137E3
1.478446000E1,1.017765137E3
1.486446469E1,1.017736328E3
1.494446156E1,1.017737793E3
1.502446156E1,1.017766602E3
1.510446000E1,1.017766602E3
1.518446000E1,1.017768066E3
1.526446000E1,1.017796875E3
1.534446000E1,1.017821289E3
1.542446000E1,1.017817871E3
1.550446000E1,1.017788574E3
1.558446156E1,1.017788574E3
1.566446156E1,1.017788574E3
1.574446156E1,1.017765137E3
1.582446000E1,1.017741699E3
1.590446000E1,1.017718262E3
1.598446000E1,1.017747070E3
1.606446000E1,1.017761719E3
1.614446000E1,1.017747070E3
1.622446000E1,1.017730957E3
1.630446156E1,1.017702148E3
1.638446156E1,1.017730957E3
1.646446000E1,1.017745117E3
1.654446156E1,1.017745605E3
