"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.508588120E-1,2.746973634E-1,-6.929131746E-1,4.709247351E-1
1.728525620E-1,-1.262745708E-1,-3.640407622E-1,1.920909435E-1
1.928603750E-1,-5.848773122E-1,-9.369450808E-1,-5.564458966E-1
2.148556870E-1,-9.613622427E-1,-1.183333278E0,-7.696552873E-1
2.368525620E-1,-8.786685467E-1,-1.182478070E0,-1.451590359E-1
2.588541250E-1,-7.000690103E-1,-1.169527650E0,-2.151990868E-2
2.808510000E-1,-4.353898466E-1,-3.053278923E-1,-3.571467102E-1
3.008525620E-1,-5.363397002E-1,-6.187715530E-1,-6.053848863E-1
3.228525620E-1,-5.233369470E-1,-3.316125572E-1,-4.237310290E-1
3.448525620E-1,-3.677059710E-1,-4.522497058E-1,-7.564257085E-2
3.648525620E-1,1.124341115E-1,-2.508212626E-1,-5.836381018E-2
3.848728750E-1,3.463082314E-1,2.875255346E-1,2.174331248E-1
4.068510000E-1,7.168765068E-1,9.244136214E-1,5.086238384E-1
4.268603750E-1,1.196458101E0,9.074141383E-1,5.228483081E-1
4.488510000E-1,6.191729903E-1,-4.924795628E-1,7.718369365E-1
4.688510000E-1,1.999972761E-1,-6.303780079E-1,7.616617084E-1
4.888510000E-1,3.442487419E-1,-4.880987704E-1,-2.428974658E-1
5.088525620E-1,8.422958851E-2,-2.356491089E0,-9.090198278E-1
5.308510000E-1,2.757969201E-1,-3.486155510E0,-6.009517908E-1
5.508510000E-1,6.405707598E-1,-3.761708021E0,-3.111921996E-2
5.708510000E-1,1.028470159E0,-3.386811495E0,5.593780279E-1
5.908525620E-1,8.917061687E-1,-4.147879601E0,7.184822559E-1
6.108525620E-1,4.456174672E-1,-4.627635956E0,6.703286171E-1
6.328525620E-1,2.055299729E-1,-3.975703001E0,1.305593491E0
6.528525620E-1,-2.341359109E-1,-3.047571659E0,2.444543123E0
6.748510000E-1,-8.833460212E-1,-2.522594213E0,3.418506622E0
6.948510000E-1,-1.674015045E0,-2.397035122E0,3.387579441E0
7.148525620E-1,-2.200633287E0,-1.993043780E0,3.030118465E0
7.348525620E-1,-1.725554705E0,-1.880662084E0,2.932048321E0
7.548525620E-1,-1.325437903E0,-1.537041664E0,3.179064751E0
7.748525620E-1,-1.425305724E0,-1.037493467E0,3.124732733E0
7.948525620E-1,-1.396926641E0,-1.160190105E0,2.499939680E0
8.168525620E-1,-7.630056143E-1,-1.999065161E0,2.226726055E0
8.388525620E-1,-1.054527909E-1,-2.208120823E0,2.164487600E0
8.608510000E-1,5.178566575E-1,-1.945797801E0,2.066452265E0
8.808510000E-1,1.282956600E0,-2.190109015E0,1.970162511E0
9.008510000E-1,1.865722060E0,-2.834746361E0,1.730633616E0
9.208510000E-1,2.064759493E0,-3.323071957E0,1.299467444E0
9.408525620E-1,1.972693324E0,-3.191491604E0,1.143906236E0
9.628525620E-1,1.958067417E0,-2.875133276E0,1.130903482E0
9.828556870E-1,2.364851236E0,-2.776522160E0,8.417548537E-1
1.004852562E0,2.830766916E0,-2.448400259E0,4.007973969E-1
1.024852562E0,3.003432274E0,-2.055282354E0,3.804817796E-3
1.044858812E0,2.939204216E0,-1.884554148E0,-3.665365875E-1
1.066852562E0,2.495367050E0,-1.598739028E0,-7.901803851E-1
1.088851000E0,7.780154347E-1,-7.004704475E-1,-5.939878821E-1
1.108851000E0,-5.690122247E-1,1.015781611E-1,-1.570796408E-2
1.128852562E0,-5.365142226E-2,-6.252816319E-1,-1.938362718E-1
1.148852562E0,5.720491409E-1,-1.317985415E0,-6.332578063E-1
1.170851000E0,1.158514619E0,-2.591639459E-1,-9.465269446E-1
1.190852562E0,1.107550979E0,-2.410299629E-1,-8.724901080E-1
1.212851000E0,8.095884323E-1,-4.278325438E-1,-1.254752159E0
1.232857250E0,8.265181184E-1,7.843509316E-2,-1.272781372E0
1.254852562E0,8.986874819E-1,6.092944145E-1,-2.661801577E-1
1.274852562E0,4.948183000E-1,2.239082903E-1,3.650006950E-1
1.294852562E0,3.281393647E-1,-2.714161575E-1,5.834460855E-1
1.316851000E0,1.021820426E0,-1.415078044E0,1.140834451E0
1.336851000E0,1.600362182E0,-1.974560738E0,7.421314716E-1
