"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.644958339E-3,3.022365570E-1,-1.812816143E0,-1.299604297E0
2.672895830E-2,2.713630795E-1,-1.848175168E0,-1.364037275E0
4.681195831E-2,2.628532052E-1,-1.817426085E0,-1.400504231E0
6.689595833E-2,2.309778482E-1,-1.826172471E0,-1.432790756E0
8.697995835E-2,1.976639479E-1,-1.929390669E0,-1.444427013E0
1.070639583E-1,2.177957743E-1,-2.044947147E0,-1.447775245E0
1.271469583E-1,2.360504270E-1,-2.103621960E0,-1.456090927E0
1.472309583E-1,2.314196676E-1,-2.083547354E0,-1.460587502E0
1.673149583E-1,2.506298125E-1,-2.007833242E0,-1.448427320E0
1.873979583E-1,3.075326383E-1,-1.937424898E0,-1.405853748E0
2.074819583E-1,3.201066256E-1,-1.989743471E0,-1.334461927E0
2.275659583E-1,2.730951607E-1,-2.207205534E0,-1.313284039E0
2.476489583E-1,2.527711987E-1,-2.371066332E0,-1.406702399E0
2.677329583E-1,3.329436779E-1,-2.340952873E0,-1.553383946E0
2.878169583E-1,4.482605159E-1,-2.163860321E0,-1.676034808E0
3.079009583E-1,4.469028115E-1,-1.919026494E0,-1.698087215E0
3.279839583E-1,3.645161688E-1,-1.712389588E0,-1.661461711E0
3.480679583E-1,3.452179730E-1,-1.668042898E0,-1.569605947E0
3.681519583E-1,4.065044522E-1,-1.721863627E0,-1.390646458E0
3.882349583E-1,4.552111924E-1,-1.701753259E0,-1.171908259E0
4.083189583E-1,3.915446103E-1,-1.563888311E0,-9.793983698E-1
4.284029583E-1,2.113184333E-1,-1.387286901E0,-8.431416154E-1
4.484859583E-1,-3.458887711E-2,-1.326961875E0,-7.804623246E-1
4.685699583E-1,-2.034027874E-1,-1.406169653E0,-7.796808481E-1
4.886542500E-1,-1.876744926E-1,-1.462474108E0,-7.901549935E-1
5.087382500E-1,-9.492249787E-2,-1.316773891E0,-6.927050948E-1
5.288212500E-1,-1.749172248E-2,-1.045195341E0,-4.969590306E-1
5.489052500E-1,4.729300737E-2,-8.782223463E-1,-3.438919187E-1
5.689892500E-1,1.285158992E-1,-8.123000264E-1,-3.124951124E-1
5.890722500E-1,2.035282999E-1,-8.346312642E-1,-3.642061055E-1
6.091562500E-1,2.181609124E-1,-8.767486811E-1,-4.221814573E-1
6.292402500E-1,1.488287598E-1,-8.891555071E-1,-4.919526875E-1
6.493232500E-1,5.372096226E-2,-8.897701502E-1,-5.643305182E-1
6.694072500E-1,7.484636735E-3,-8.911494613E-1,-6.127655506E-1
6.894912500E-1,-3.762081265E-2,-8.990964890E-1,-6.339712143E-1
7.095752500E-1,-1.411062777E-1,-9.589645267E-1,-6.532550454E-1
7.296582500E-1,-2.454256266E-1,-1.034542441E0,-6.756739616E-1
7.497422500E-1,-2.725763321E-1,-1.079962730E0,-6.531527638E-1
7.698262500E-1,-2.125952095E-1,-1.095264316E0,-5.769127011E-1
7.899092500E-1,-8.106360584E-2,-1.077538729E0,-4.627373517E-1
8.099932500E-1,7.093934715E-2,-1.032661080E0,-3.766077757E-1
8.300772500E-1,1.860942990E-1,-9.120061398E-1,-3.601921797E-1
8.501602500E-1,2.662678361E-1,-6.711120009E-1,-3.718692958E-1
8.702442500E-1,3.571950197E-1,-3.172032535E-1,-3.623422682E-1
8.903282500E-1,3.947770000E-1,5.420944653E-3,-3.311020434E-1
9.104122500E-1,3.915480375E-1,1.708748490E-1,-3.093267679E-1
9.304952500E-1,4.051473141E-1,1.867759228E-1,-2.827564478E-1
9.505792500E-1,3.694984615E-1,8.246408403E-2,-2.324373275E-1
9.706632500E-1,2.434360832E-1,-3.762270510E-2,-1.966392696E-1
9.907462500E-1,1.290819794E-1,-1.269583255E-1,-1.685316414E-1
1.010830250E0,9.143679589E-2,-3.944195509E-1,-5.752485991E-2
1.030914250E0,2.918716073E-1,-9.580961466E-1,1.851637512E-1
1.050997250E0,6.090249419E-1,-1.356124640E0,5.243886113E-1
1.071081250E0,7.303451896E-1,-1.247770667E0,7.764126062E-1
1.091165250E0,7.182035446E-1,-6.541885138E-1,8.702133298E-1
1.111249250E0,6.571986079E-1,4.255735129E-2,8.049030304E-1
1.131332250E0,6.399003267E-1,6.292409897E-1,6.170809269E-1
1.151416250E0,5.587137341E-1,1.024504781E0,4.649279118E-1
1.171500250E0,4.455060363E-1,1.239483953E0,5.162696838E-1
1.191583250E0,5.438709259E-1,1.522196531E0,6.314533353E-1
1.211667250E0,7.739528418E-1,1.687936306E0,5.381246209E-1
1.231751250E0,8.765105605E-1,1.753040314E0,3.185252547E-1
1.251834250E0,6.699322462E-1,1.667369962E0,1.482896656E-1
1.271918250E0,2.362052202E-1,1.588919282E0,7.524921000E-2
1.292002250E0,-1.600236595E-1,1.500538588E0,1.676912010E-1
1.312086250E0,-4.620385766E-1,1.352813840E0,4.373365045E-1
1.332169250E0,-6.873744130E-1,1.095935941E0,7.201106548E-1
1.352253250E0,-7.733959556E-1,7.417512536E-1,9.406840205E-1
1.372337250E0,-6.884659529E-1,5.348718166E-1,1.012136698E0
1.392420250E0,-5.077858567E-1,5.715308785E-1,9.718470573E-1
1.412504250E0,-4.449926913E-1,7.609260678E-1,8.297301531E-1
1.432588250E0,-6.162348986E-1,7.877846360E-1,6.189410090E-1
1.452672250E0,-7.284885645E-1,7.485308051E-1,4.276018441E-1
1.472754875E0,-6.581887603E-1,8.231194615E-1,4.127639532E-1
1.492838875E0,-4.715058804E-1,9.830062985E-1,5.613298416E-1
1.512922875E0,-2.639325857E-1,1.093594193E0,7.176346779E-1
1.533005875E0,-1.721833944E-1,1.143744230E0,7.866593003E-1
1.553089875E0,-1.463111490E-1,1.217443585E0,7.724016905E-1
1.573173875E0,-1.771397144E-1,1.203850627E0,7.646530867E-1
1.593256875E0,-2.213033587E-1,1.061922908E0,7.904384136E-1
1.613340875E0,-2.434540540E-1,8.831502795E-1,7.797497511E-1
1.633424875E0,-2.498900592E-1,7.900248170E-1,7.564797997E-1
1.653508875E0,-2.868482471E-1,7.188310027E-1,7.578727603E-1
1.673591875E0,-3.258539736E-1,6.337718368E-1,7.346715331E-1
1.693675875E0,-3.352180421E-1,5.615058541E-1,6.849558949E-1
1.713759875E0,-3.230905831E-1,5.375580788E-1,6.653413773E-1
1.733842875E0,-3.116657436E-1,5.202361941E-1,6.466116905E-1
1.753926875E0,-3.029881120E-1,4.364431202E-1,6.551050544E-1
1.774010875E0,-1.895626485E-1,3.474002182E-1,7.396380305E-1
1.794094875E0,-1.254039444E-2,2.764288187E-1,7.773829699E-1
1.814177875E0,1.460477710E-1,3.243362010E-1,6.414696574E-1
1.834261875E0,2.207732946E-1,4.528645873E-1,4.558981359E-1
1.854345875E0,2.233225405E-1,5.419038534E-1,3.201644123E-1
1.874428875E0,2.281069607E-1,5.329540968E-1,2.341842353E-1
1.894512875E0,3.057923615E-1,4.925172329E-1,1.963756233E-1
1.914596875E0,5.144941807E-1,4.640719295E-1,2.384428531E-1
1.934679875E0,7.438070178E-1,5.122220516E-1,3.203992546E-1
1.954763875E0,8.864573836E-1,6.180303693E-1,3.411247134E-1
1.974847875E0,8.887479305E-1,7.767874599E-1,3.454066217E-1
1.994931875E0,6.241375804E-1,7.988006473E-1,3.257218301E-1
2.015014875E0,2.706159353E-1,5.012483597E-1,1.674248725E-1
2.035098875E0,1.385169327E-1,8.412234485E-2,-1.198593751E-1
2.055182875E0,3.489168584E-1,5.677395687E-2,-3.142945170E-1
2.075265875E0,5.459375381E-1,3.678332269E-1,-3.550242484E-1
2.095349875E0,3.856305480E-1,6.581200361E-1,-3.789177835E-1
2.115433875E0,5.772037804E-2,7.964440584E-1,-4.398892820E-1
2.135517875E0,-2.648524046E-1,8.014318347E-1,-3.206640482E-1
2.155600875E0,-4.447953105E-1,7.762506604E-1,-3.802606836E-2
2.175684875E0,-5.955393910E-1,7.033024430E-1,2.747480571E-1
2.195768875E0,-7.296490669E-1,4.837997258E-1,4.477697015E-1
2.215851875E0,-7.493541837E-1,9.546560049E-2,4.155074060E-1
2.235935875E0,-7.146767974E-1,-4.162982106E-1,2.612291574E-1
2.256019875E0,-5.557565689E-1,-8.460396528E-1,6.297770888E-2
2.276103875E0,-3.005849719E-1,-8.133939505E-1,-1.755447090E-1
2.296186875E0,-4.489610717E-2,-3.876307905E-1,-3.961548507E-1
2.316270875E0,-1.828391477E-2,2.588612773E-2,-4.349306226E-1
2.336354875E0,-6.630723830E-3,1.853974760E-1,-3.756127954E-1
2.356437875E0,1.218943968E-1,6.121041998E-2,-3.598728180E-1
2.376521875E0,2.864246070E-1,-8.058820665E-2,-4.252303839E-1
2.396605875E0,3.196218908E-1,-1.030417308E-1,-5.192417502E-1
2.416688875E0,3.194205165E-1,2.315118536E-2,-6.736954451E-1
2.436772875E0,4.372647703E-1,2.735736668E-1,-8.169689178E-1
2.456856875E0,5.542764068E-1,5.440894961E-1,-8.764832616E-1
2.476940583E0,4.303489923E-1,6.252787113E-1,-7.111490965E-1
2.497023583E0,1.154467240E-1,4.464812875E-1,-4.926324487E-1
2.517107583E0,-6.792715192E-2,2.292583436E-1,-4.046107829E-1
2.537191583E0,-5.538106710E-2,5.402904004E-2,-3.917049766E-1
2.557274583E0,-5.280975997E-2,-4.339907691E-2,-3.553315103E-1
2.577358583E0,-2.143453956E-1,-7.638046145E-2,-2.655073404E-1
2.597442583E0,-3.662689924E-1,-8.619878441E-2,-1.586843431E-1
2.617526583E0,-3.328433335E-1,-1.447645575E-1,-8.546388894E-2
2.637609583E0,-1.826106906E-1,-2.848716974E-1,-5.581834540E-2
2.657693583E0,-4.098216072E-2,-4.446478784E-1,-4.752949625E-2
2.677777583E0,1.162035763E-2,-4.844606221E-1,-8.367345482E-2
2.697860583E0,3.286676854E-2,-3.739382625E-1,-1.213106140E-1
2.717944583E0,1.865554452E-1,-1.415132284E-1,-8.934037387E-2
2.738028583E0,5.621918440E-1,1.835038662E-1,4.864296690E-2
2.758111583E0,8.302439451E-1,4.234454632E-1,1.096163839E-1
2.778195583E0,7.592157125E-1,4.177366793E-1,1.755361818E-2
2.798279583E0,3.258720338E-1,2.789686024E-1,-9.934029728E-2
2.818363583E0,-1.273239553E-1,1.585657299E-1,-2.023728639E-1
2.838446583E0,-2.467796206E-1,1.426213384E-1,-1.854005605E-1
2.858530583E0,-5.978031829E-2,1.936768442E-1,-1.521827430E-1
2.878614583E0,1.145800576E-1,2.083110809E-1,-1.430684030E-1
2.898697583E0,-4.111827165E-2,8.857033402E-2,-1.185655296E-1
2.918781583E0,-3.247979879E-1,-2.978185192E-2,3.603177378E-3
2.938865583E0,-4.904907644E-1,-8.605490625E-2,2.060782164E-1
2.958949583E0,-4.600669742E-1,-1.021043956E-1,4.099518359E-1
2.979032583E0,-3.527414501E-1,-1.381193399E-1,4.700816870E-1
2.999116583E0,-3.188250959E-1,-1.505454630E-1,3.420855105E-1
3.019200583E0,-3.992055357E-1,-1.125608385E-1,1.375378370E-1
