"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.381945833E-2,-1.211033314E-1,2.711823583E-1,-5.391219258E-2
3.373545833E-2,-4.122093916E-1,8.911187053E-1,-4.364469275E-2
5.365145834E-2,-7.611266375E-1,1.672461629E0,8.799991012E-2
7.356745833E-2,-9.385166168E-1,2.231092215E0,2.295219600E-1
9.348245834E-2,-1.117288351E0,1.546629071E0,2.203565836E-1
1.133984583E-1,-1.324349403E0,4.332653284E-1,7.259234041E-2
1.333144583E-1,-1.644696236E0,-4.904970825E-1,1.036144346E-1
1.532294583E-1,-1.714091539E0,-1.357369542E0,-8.831464499E-2
1.731454583E-1,-1.903461456E0,-9.914410114E-1,-2.151778638E-1
1.930614583E-1,-1.872651339E0,1.836260408E-2,-2.910777926E-1
2.129774583E-1,-1.481407523E0,-1.998790801E-1,-4.913830459E-1
2.328924583E-1,-1.548121214E0,-7.631382346E-1,-8.095070124E-1
2.528084583E-1,-1.708866477E0,-6.106909737E-2,-1.131271601E0
2.727244583E-1,-1.883782506E0,3.308844566E-1,-1.254808068E0
2.926404583E-1,-1.912944674E0,4.609504342E-1,-8.337275982E-1
3.125554583E-1,-1.755765796E0,9.420387149E-1,-2.296297401E-1
3.324714583E-1,-1.434624553E0,1.436430335E0,-3.539690673E-1
3.523874583E-1,-9.965714812E-1,3.253432751E0,-4.403431416E-1
3.723024583E-1,-4.071056247E-1,4.494991779E0,-1.099079400E-1
3.922184583E-1,-5.547762662E-2,5.424743652E0,4.179757833E-1
4.121344583E-1,-2.135939449E-1,5.195651531E0,6.443545222E-1
4.320504583E-1,1.545351595E-1,3.225543976E0,5.340591073E-1
4.519654583E-1,1.935618371E-1,1.857968688E0,-7.557111382E-1
4.718814583E-1,-9.363860488E-1,2.028934240E0,-1.046891928E0
4.917974583E-1,-2.296415806E0,1.655796409E0,-8.858050704E-1
5.117134583E-1,-3.087205887E0,8.103477359E-1,-5.691550374E-1
5.316284583E-1,-2.865314007E0,3.980011046E-1,2.153491229E-1
5.515439583E-1,-1.970770121E0,-1.863364279E-1,3.445155919E-1
5.714599583E-1,-1.121163130E0,-6.047886610E-1,-2.299236357E-1
5.913759583E-1,-9.372584224E-1,-1.328972429E-1,-8.144173026E-1
6.112909583E-1,-1.046174288E0,7.517030835E-1,-1.180176854E0
6.312069583E-1,-1.082076550E0,1.228510022E0,-1.844120860E0
6.511229583E-1,-8.898388147E-1,2.373472691E0,-2.516271353E0
6.710379583E-1,-6.275807619E-1,2.945577621E0,-2.939470291E0
6.909539583E-1,-3.378114104E-1,3.357468605E0,-2.830988169E0
7.108699583E-1,1.122215316E-1,3.722111225E0,-2.469165087E0
7.307859583E-1,1.197651029E0,3.699742079E0,-2.189839363E0
7.507009583E-1,2.447417021E0,3.283615112E0,-1.927118659E0
7.706169583E-1,2.655638695E0,3.410908937E0,-1.551576018E0
7.905329583E-1,2.199803114E0,2.939007282E0,-1.258840322E0
8.104489583E-1,1.812929749E0,2.876875877E0,-1.158414125E0
8.303639583E-1,1.535765648E0,3.188860655E0,-1.102434516E0
8.502799583E-1,1.085072875E0,2.330693483E0,-1.464128733E0
8.701959583E-1,8.621706963E-1,2.243055582E0,-7.460982203E-1
8.901119583E-1,1.015535295E-1,2.116114855E0,-1.876237541E-1
9.100269583E-1,-5.973132849E-1,1.274211407E0,-5.069089532E-1
9.299429583E-1,-6.531286240E-1,1.263917804E0,-1.016978145E0
9.498589583E-1,3.442411125E-1,1.230496407E0,-1.180073142E0
9.697749583E-1,9.134936333E-1,1.817708254E0,-1.227837801E0
9.896899583E-1,1.167015910E0,1.721529484E0,-1.168541312E0
1.009605958E0,3.452557623E-1,1.391275883E0,-9.680738449E-1
1.029521958E0,-6.527497172E-1,7.762935162E-1,-6.709006429E-1
1.049436958E0,-6.215370893E-1,5.121602416E-1,-4.459839165E-1
1.069352958E0,-2.968559861E-1,5.310925841E-1,-6.787160635E-1
1.089268958E0,-6.515549421E-1,7.492936254E-1,-1.553087384E-1
1.109184958E0,-1.169860959E0,1.822056025E-1,9.128769040E-1
1.129099958E0,-1.734903932E0,-3.065493405E-1,7.360041142E-1
1.149015958E0,-1.731523395E0,-1.009327769E0,5.566986799E-1
1.168931958E0,-1.838762045E0,-2.216643095E0,1.361639977E0
1.188847958E0,-2.295646667E0,-2.737752914E0,1.637990594E0
1.208762958E0,-2.154366255E0,-2.069361687E0,2.175643921E0
1.228678958E0,-2.260037422E0,-1.711917758E0,2.522157192E0
1.248594958E0,-2.216630697E0,-2.018298864E0,2.377506971E0
1.268510958E0,-2.364240170E0,-2.670976639E0,2.217877150E0
1.288425958E0,-3.124441147E0,-2.429296732E0,2.877946854E0
1.308341958E0,-3.059426785E0,-1.000484943E0,9.771021008E-1
1.328257958E0,-9.904164672E-1,-9.978184104E-1,2.540209591E-1
1.348173958E0,-1.618700147E0,-1.637793303E0,3.208366334E-1
1.368088958E0,-1.182128549E0,-5.050016642E-1,-3.562296182E-2
1.388004958E0,6.466830522E-2,6.728666425E-1,-8.419430852E-1
1.407920958E0,1.634326577E0,-3.561812639E-1,-6.014277339E-1
1.427836958E0,7.293247581E-1,-3.774437904E-1,4.826812744E-1
1.447751958E0,-9.130658507E-1,2.483496070E-1,8.023290634E-1
1.467667958E0,-1.257455826E0,3.523730636E-1,-6.968551278E-1
1.487583958E0,-1.538633227E0,-8.976852894E-1,-2.714512348E0
1.507498958E0,8.907307982E-1,-9.900092483E-1,-3.677443504E0
1.527414958E0,6.193430722E-2,-1.562929630E0,-3.197091579E0
1.547330958E0,-1.609283388E-1,-1.215972066E0,-2.566945553E0
1.567246875E0,-4.805795550E-1,-3.859004080E-1,-2.154039621E0
1.587161875E0,-5.580367446E-1,-6.388912201E-1,-2.105612755E0
1.607077875E0,-3.650179803E-1,-1.453942776E0,-2.264901161E0
1.626993875E0,-1.665385514E-1,-1.146498799E0,-2.268855810E0
1.646909875E0,-2.361297011E-1,-5.112752318E-1,-1.940294385E0
1.666824875E0,-9.105484486E-1,3.222836852E-1,-2.099789858E0
1.686740875E0,-1.638382196E0,5.716236234E-1,-2.177711964E0
1.706656875E0,-2.003663301E0,5.547245741E-1,-1.526478171E0
1.726572875E0,-1.897840500E0,3.263548613E-1,-9.829980135E-1
1.746487875E0,-5.793359280E-1,-2.345663160E-1,-1.004023433E0
1.766403875E0,2.374051064E-1,-5.809397697E-1,-1.047713041E0
1.786319875E0,3.240068555E-1,6.513943523E-2,-7.551622987E-1
1.806235875E0,8.229333758E-1,7.293397933E-2,9.151342511E-2
1.826150875E0,7.800608277E-1,-3.875497580E-1,2.033196539E-1
1.846066875E0,5.853204727E-1,-7.757262588E-1,-2.798607349E-1
1.865982875E0,5.322798491E-1,-6.906800866E-1,-4.522277117E-1
1.885898875E0,3.574508131E-1,-2.993965447E-1,-4.100475907E-1
1.905813875E0,5.727176666E-1,-1.390268654E-1,-6.374095678E-1
1.925729875E0,5.732699633E-1,-1.005545497E0,-8.466526866E-1
1.945645875E0,3.346152008E-1,-2.026152372E0,-8.376417756E-1
1.965561875E0,4.816800058E-1,-1.881572723E0,-1.073035955E0
1.985476875E0,1.496566176E0,-1.654096484E0,-1.540672302E0
2.005392875E0,2.913378000E0,-8.663201928E-1,-1.763541937E0
2.025308875E0,3.848598242E0,-1.042498708E0,-2.150677204E0
2.045224875E0,2.888339281E0,-3.289616346E0,-2.706607819E0
2.065139875E0,1.711213231E0,-4.105755806E0,-2.846951246E0
2.085055875E0,1.417726755E0,-4.815291882E0,-3.814079285E0
2.104971875E0,2.410107136E0,-2.684101820E0,-3.397374392E0
2.124887875E0,3.853274107E0,-1.382429361E0,-3.521149635E0
2.144802875E0,3.367375851E0,-1.347991109E0,-3.308694124E0
2.164718875E0,1.346270561E0,-1.837273240E-1,-9.205939174E-1
2.184634875E0,3.324721456E-1,2.785457671E-1,4.623283446E-1
2.204550875E0,-1.410822719E-1,-4.519206882E-1,4.769614041E-1
2.224466875E0,-6.514441371E-1,-8.432549238E-1,9.594247341E-1
2.244381875E0,-5.831062794E-1,-8.105272651E-1,1.587478876E0
2.264297875E0,-6.607061625E-1,1.576105058E-1,1.251941562E0
2.284213875E0,-9.338856339E-1,7.471494675E-1,1.014862061E0
2.304129875E0,-8.327962756E-1,-3.025649302E-2,2.724885046E-1
2.324044875E0,-6.442458034E-1,-1.906058490E-1,-5.106208920E-1
2.343960875E0,-8.264024258E-1,4.551619291E-1,-7.802127004E-1
2.363876875E0,-1.602394700E0,1.396145463E0,-5.267837048E-1
2.383792875E0,-2.395792007E0,2.211249828E0,-1.031050086E0
2.403707875E0,-3.256410837E0,3.172104120E0,-7.058016062E-1
2.423623875E0,-2.723380566E0,4.015788078E0,-4.412686825E-1
2.443539875E0,-1.401365876E0,3.427111387E0,-9.530294687E-2
2.463455875E0,1.223513007E0,5.344915390E-1,1.209426522E0
2.483370875E0,1.298610210E0,-2.424384117E0,1.324527860E0
2.503286875E0,1.971643865E-1,-1.391636491E0,9.387879968E-1
2.523202875E0,-8.658080101E-1,2.308908701E0,4.621026814E-1
2.543118875E0,-1.756916761E0,5.504915237E0,2.198747396E-1
2.563034000E0,-2.182158947E0,4.563030720E0,5.895664915E-2
2.582950000E0,-2.802317381E0,3.000348806E-1,-1.159996539E-1
2.602866000E0,-3.698062897E0,-2.740750551E0,4.982330799E-1
2.622782000E0,-3.161389351E0,-3.131827354E0,9.759708047E-1
2.642697000E0,-1.146526098E0,-1.095613480E0,3.148384094E-1
2.662613000E0,9.719305485E-2,1.407768130E0,4.944729805E-2
2.682529000E0,1.215038300E0,3.182172537E0,-7.188968360E-2
2.702445000E0,8.464106917E-1,3.485385656E0,-2.749768496E-1
2.722361000E0,-2.461616397E-1,2.721346378E0,-2.338703573E-1
2.742276000E0,-7.499217391E-1,2.035519838E0,1.863184124E-1
2.762192000E0,-5.449454188E-1,1.419159770E0,7.113180757E-1
2.782108000E0,-2.962840199E-1,1.006974220E0,8.323179483E-1
2.802024000E0,-5.198459029E-1,1.937116265E0,5.665783882E-1
2.821939000E0,-6.688302159E-1,2.527111292E0,1.674791276E-1
2.841855000E0,-4.212330878E-1,1.693397284E0,-1.079744995E-1
2.861771000E0,-1.806510687E-1,1.040585518E0,-1.608004421E-2
2.881687000E0,-2.074811906E-1,8.271524310E-1,3.079039976E-2
2.901602000E0,-3.932113647E-1,8.102482557E-1,-4.274304956E-2
2.921518000E0,-5.476926565E-1,6.776932478E-1,-1.503777876E-2
2.941434000E0,-6.111078262E-1,6.944844723E-1,-2.442664281E-2
2.961350000E0,-4.774351716E-1,9.489798546E-1,-1.036207974E-1
2.981265000E0,-3.017706573E-1,1.334989429E0,-2.501887381E-1
3.001181000E0,-2.524242401E-1,1.595648289E0,-3.747088611E-1
3.021097000E0,-3.765156567E-1,1.950215340E0,-5.260293484E-1
3.041013000E0,-3.843516707E-1,1.972901344E0,-6.025333405E-1
3.060929000E0,-6.818348169E-2,1.708950758E0,-5.606839061E-1
3.080844000E0,4.219968021E-1,1.039992332E0,-3.881666064E-1
3.100760000E0,7.995540500E-1,1.104822397E0,-1.169660389E-1
3.120676000E0,1.087482095E0,2.032541513E0,1.274664104E-1
3.140592000E0,1.294270396E0,2.719689131E0,3.144802451E-1
3.160507000E0,8.196707368E-1,3.809315443E0,7.546167374E-1
3.180423000E0,1.348656178E0,3.020805836E0,1.236793041E0
3.200339000E0,1.978297949E0,4.591503143E-1,1.656872749E0
3.220255000E0,1.988342762E0,-2.026665688E0,2.030403614E0
3.240170000E0,1.843999505E0,-3.333364725E0,2.238414288E0
3.260086000E0,2.240678310E0,-3.280529976E0,2.000409842E0
3.280002000E0,2.159032106E0,-2.417054653E0,1.542864919E0
3.299918000E0,1.564767838E0,-1.214973569E0,1.176285625E0
3.319834000E0,1.223932028E0,-3.391609341E-2,8.001521826E-1
3.339749000E0,1.203183889E0,6.825794578E-1,6.559297442E-1
3.359665000E0,1.785769939E0,7.553319335E-1,1.218782067E0
3.379581000E0,2.048047781E0,2.800259590E-1,1.595188379E0
3.399497000E0,1.407283664E0,-4.442858994E-1,1.800949574E0
3.419412000E0,4.650162458E-1,-1.054975748E0,2.245481730E0
3.439328000E0,-1.074044630E-1,-1.820994496E0,2.505921841E0
3.459244000E0,-2.444993109E-1,-2.700909376E0,2.114994526E0
3.479160000E0,-2.029240727E-1,-2.705687523E0,1.158563018E0
