"Time (s)","X (hPa)"
-5.350125417E-1,1.019049988E3
4.912614583E-1,1.019058304E3
1.517540458E0,1.019066620E3
2.543765458E0,1.019076157E3
3.569986458E0,1.019078903E3
3.771046458E0,1.019085083E3
4.830397458E0,1.019085083E3
5.889709458E0,1.019084625E3
6.949046458E0,1.019084244E3
8.008371458E0,1.019084244E3
9.067674458E0,1.019082336E3
1.012698346E1,1.019081497E3
1.118633346E1,1.019080887E3
1.224571146E1,1.019076691E3
1.330509246E1,1.019072952E3
1.436447846E1,1.019068909E3
1.542384046E1,1.019066315E3
1.648320246E1,1.019065552E3
1.754252146E1,1.019065552E3
1.860188946E1,1.019066391E3
1.966121846E1,1.019068451E3
2.072056246E1,1.019070511E3
2.177990446E1,1.019070511E3
2.283926846E1,1.019068222E3
2.389860646E1,1.019066544E3
2.495792146E1,1.019063873E3
2.601723246E1,1.019061890E3
2.707654046E1,1.019059219E3
2.813591446E1,1.019058304E3
2.919528046E1,1.019057999E3
3.025465346E1,1.019057999E3
3.131404046E1,1.019060516E3
3.237344146E1,1.019061737E3
3.343285246E1,1.019063416E3
3.449224246E1,1.019064026E3
3.555167646E1,1.019064026E3
3.661107446E1,1.019060822E3
3.767048346E1,1.019058380E3
3.872988746E1,1.019055405E3
3.978931046E1,1.019055405E3
4.084875246E1,1.019056625E3
4.190818746E1,1.019059982E3
4.296762546E1,1.019062958E3
4.402705246E1,1.019066620E3
4.508655946E1,1.019068909E3
4.614605446E1,1.019070511E3
4.720549046E1,1.019070511E3
4.826495446E1,1.019068909E3
4.932443446E1,1.019066849E3
5.038389246E1,1.019064026E3
5.144334046E1,1.019059677E3
5.250278646E1,1.019059448E3
5.356221346E1,1.019059448E3
5.462168946E1,1.019059448E3
5.568116046E1,1.019060287E3
5.674063046E1,1.019059448E3
5.780015246E1,1.019059143E3
5.885964546E1,1.019059143E3
5.991920146E1,1.019060059E3
6.097872146E1,1.019061050E3
6.203820346E1,1.019061890E3
6.309770346E1,1.019062424E3
6.415716646E1,1.019062424E3
6.521668446E1,1.019061508E3
6.627615546E1,1.019059601E3
6.733566246E1,1.019058533E3
6.839515746E1,1.019055252E3
6.945465846E1,1.019052429E3
7.051419446E1,1.019049530E3
7.157369846E1,1.019049530E3
7.263319346E1,1.019047012E3
7.369272546E1,1.019045486E3
7.475225846E1,1.019044724E3
7.581177946E1,1.019040451E3
7.687134546E1,1.019037781E3
7.793084746E1,1.019036102E3
7.899033646E1,1.019034576E3
8.004988346E1,1.019033279E3
8.110939346E1,1.019033279E3
8.216895546E1,1.019033127E3
8.322851146E1,1.019033051E3
8.428812946E1,1.019032211E3
8.534776546E1,1.019032211E3
8.640735446E1,1.019031677E3
8.746696346E1,1.019031677E3
8.852652346E1,1.019030304E3
8.958607946E1,1.019029922E3
9.064568546E1,1.019026413E3
