"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.381945833E-2,2.206291199E1,9.298423767E0,-4.329708862E1
3.373545833E-2,2.242156219E1,9.406723022E0,-4.334002686E1
5.365145834E-2,2.348656464E1,9.923118591E0,-4.300685120E1
7.356745833E-2,2.492638016E1,1.073744202E1,-4.130941772E1
9.348245834E-2,2.637630463E1,1.155676270E1,-4.020005798E1
1.133984583E-1,2.739385986E1,1.231870270E1,-3.903585815E1
1.333144583E-1,2.760945129E1,1.345785522E1,-3.873889160E1
1.532294583E-1,2.651180267E1,1.481278992E1,-3.874044800E1
1.731454583E-1,2.574575043E1,1.611030579E1,-3.900476074E1
1.930614583E-1,2.549701309E1,1.758979797E1,-3.871086121E1
2.129774583E-1,2.533845139E1,1.843432617E1,-3.805387878E1
2.328924583E-1,2.510170746E1,1.989430237E1,-3.731019592E1
2.528084583E-1,2.422072983E1,2.121467590E1,-3.647882080E1
2.727244583E-1,2.364089966E1,2.322193909E1,-3.603761292E1
2.926404583E-1,2.315341568E1,2.509934998E1,-3.494267273E1
3.125554583E-1,2.351041794E1,2.665359497E1,-3.399182129E1
3.324714583E-1,2.404359818E1,2.802720642E1,-3.203433228E1
3.523874583E-1,2.464267349E1,2.889996338E1,-3.061024475E1
3.723024583E-1,2.655621338E1,2.968630981E1,-2.859312439E1
3.922184583E-1,2.903339386E1,3.000559998E1,-2.588778687E1
4.121344583E-1,3.201617432E1,2.994062805E1,-2.208630371E1
4.320504583E-1,3.358705521E1,3.030292511E1,-1.972154236E1
4.519654583E-1,3.476253510E1,2.989100647E1,-1.787966919E1
4.718814583E-1,3.526738358E1,3.047087097E1,-1.626445007E1
4.917974583E-1,3.524236298E1,3.152098083E1,-1.454757690E1
5.117134583E-1,3.499904633E1,3.272959137E1,-1.146511841E1
5.316284583E-1,3.498469543E1,3.331006622E1,-8.929016113E0
5.515439583E-1,3.515792847E1,3.357106781E1,-6.791397095E0
5.714599583E-1,3.523445892E1,3.367514801E1,-6.052322388E0
5.913759583E-1,3.493799973E1,3.421044159E1,-5.846221924E0
6.112909583E-1,3.427345276E1,3.482873535E1,-4.825088501E0
6.312069583E-1,3.354160309E1,3.581784058E1,-3.812606812E0
6.511229583E-1,3.242229462E1,3.713717651E1,-1.919586182E0
6.710379583E-1,3.043056870E1,3.890262604E1,-9.750366211E-3
6.909539583E-1,2.797396469E1,4.048229218E1,2.368087769E0
7.108699583E-1,2.541281128E1,4.201004791E1,4.526336670E0
7.307859583E-1,2.323490524E1,4.325757599E1,6.131866455E0
7.507009583E-1,2.080435562E1,4.459093475E1,6.054534912E0
7.706169583E-1,1.874524689E1,4.546544647E1,5.707489014E0
7.905329583E-1,1.692704010E1,4.624430084E1,4.469848633E0
8.104489583E-1,1.543641281E1,4.688605499E1,3.760437012E0
8.303639583E-1,1.436414719E1,4.724445343E1,2.442398071E0
8.502799583E-1,1.320955086E1,4.769210052E1,2.057540894E0
8.701959583E-1,1.190079117E1,4.827422333E1,1.294631958E0
8.901119583E-1,1.147140694E1,4.843395233E1,1.342086792E0
9.100269583E-1,1.121205521E1,4.813089752E1,2.032485962E0
9.299429583E-1,1.042666245E1,4.832404327E1,2.759414673E0
9.498589583E-1,9.529197693E0,4.867128754E1,3.272689819E0
9.697749583E-1,8.196683884E0,4.899216461E1,3.066864014E0
9.896899583E-1,6.938026428E0,4.909803009E1,2.131347656E0
1.009605958E0,5.743154526E0,4.906427765E1,1.343170166E0
1.029521958E0,4.696727753E0,4.909795380E1,1.631195068E0
1.049436958E0,4.162071228E0,4.938501740E1,2.469955444E0
1.069352958E0,3.461307526E0,4.914583588E1,2.936599731E0
1.089268958E0,2.821208954E0,4.936431122E1,3.121765137E0
1.109184958E0,3.295820236E0,4.917781830E1,4.203079224E0
1.129099958E0,3.899034500E0,4.905687714E1,5.879028320E0
1.149015958E0,4.800127029E0,4.872138214E1,7.442703247E0
1.168931958E0,5.993305206E0,4.831584930E1,8.889923096E0
1.188847958E0,7.902746201E0,4.767708588E1,1.072947693E1
1.208762958E0,1.006641197E1,4.692691803E1,1.169653320E1
1.228678958E0,1.280859184E1,4.575946808E1,1.370016479E1
1.248594958E0,1.571903992E1,4.449326324E1,1.529130554E1
1.268510958E0,1.852645493E1,4.304767609E1,1.644821167E1
1.288425958E0,2.185282898E1,4.109868622E1,1.762028503E1
1.308341958E0,2.322452545E1,3.979923248E1,1.881085205E1
1.328257958E0,2.450751114E1,3.832094574E1,2.011628723E1
1.348173958E0,2.514188004E1,3.763196564E1,2.049974060E1
1.368088958E0,2.582369232E1,3.683109283E1,2.119781494E1
1.388004958E0,2.567361450E1,3.643187714E1,2.177726746E1
1.407920958E0,2.512282944E1,3.676457977E1,2.178202820E1
1.427836958E0,2.507075119E1,3.745012665E1,2.080216980E1
1.447751958E0,2.529972458E1,3.747748566E1,2.054324341E1
1.467667958E0,2.559700012E1,3.664072418E1,2.107862854E1
1.487583958E0,2.514995956E1,3.672159576E1,2.244554138E1
1.507498958E0,2.322492599E1,3.744890594E1,2.304138184E1
1.527414958E0,2.063074493E1,3.936316681E1,2.204800415E1
1.547330958E0,1.905673218E1,4.076996613E1,2.162202454E1
1.567246875E0,1.731522369E1,4.138594818E1,2.089900208E1
1.587161875E0,1.590557861E1,4.197745514E1,2.090499878E1
1.607077875E0,1.419237328E1,4.236615753E1,2.126033020E1
1.626993875E0,1.298972702E1,4.290598297E1,2.117443848E1
1.646909875E0,1.141704559E1,4.320249939E1,2.105879211E1
1.666824875E0,9.845943451E0,4.340417480E1,2.129966736E1
1.686740875E0,7.894128799E0,4.344953918E1,2.243695068E1
1.706656875E0,6.004030228E0,4.276872253E1,2.399882507E1
1.726572875E0,4.576789856E0,4.223803711E1,2.566200256E1
1.746487875E0,3.538995743E0,4.134368896E1,2.719955444E1
1.766403875E0,2.690481186E0,4.124931335E1,2.745921326E1
1.786319875E0,2.463514328E0,4.140606689E1,2.739910889E1
1.806235875E0,1.793544769E0,4.166015625E1,2.665638733E1
1.826150875E0,2.102523804E0,4.209886169E1,2.625016785E1
1.846066875E0,2.441164017E0,4.269447327E1,2.530209351E1
1.865982875E0,2.455076218E0,4.275767517E1,2.530354309E1
1.885898875E0,2.276000977E0,4.302227783E1,2.488743591E1
1.905813875E0,2.036851883E0,4.328012085E1,2.374923706E1
1.925729875E0,1.684974670E0,4.360624695E1,2.369493103E1
1.945645875E0,1.400533676E0,4.379612732E1,2.323609924E1
1.965561875E0,1.537988663E0,4.399670410E1,2.275720215E1
1.985476875E0,1.091205597E0,4.425569153E1,2.215092468E1
2.005392875E0,3.903732300E-1,4.524137878E1,2.024165344E1
2.025308875E0,-1.091502190E0,4.637544250E1,1.785792542E1
2.045224875E0,-2.830982208E0,4.748066711E1,1.433634949E1
2.065139875E0,-4.671772003E0,4.761521912E1,1.237744141E1
2.085055875E0,-6.389203072E0,4.775361633E1,1.150769043E1
2.104971875E0,-9.145660400E0,4.767291260E1,1.051890564E1
2.124887875E0,-1.166413307E1,4.732319641E1,8.275100708E0
2.144802875E0,-1.514758682E1,4.703550720E1,5.060455322E0
2.164718875E0,-1.696499634E1,4.624186707E1,2.918594360E0
2.184634875E0,-1.701457024E1,4.614566040E1,1.973617554E0
2.204550875E0,-1.696114731E1,4.645233154E1,2.184234619E0
2.224466875E0,-1.614434624E1,4.633317566E1,2.705322266E0
2.244381875E0,-1.523835468E1,4.698109436E1,3.631683350E0
2.264297875E0,-1.392770576E1,4.737313843E1,3.817779541E0
2.284213875E0,-1.263829517E1,4.772332764E1,4.739044189E0
2.304129875E0,-1.218821335E1,4.781484985E1,5.508163452E0
2.324044875E0,-1.238570976E1,4.787127686E1,6.326644897E0
2.343960875E0,-1.283573723E1,4.759335327E1,6.980255127E0
2.363876875E0,-1.359171677E1,4.727671814E1,8.152069092E0
2.383792875E0,-1.438683510E1,4.653025818E1,9.049911499E0
2.403707875E0,-1.504066753E1,4.630401611E1,9.684738159E0
2.423623875E0,-1.638261223E1,4.529934692E1,1.151806641E1
2.443539875E0,-1.772377014E1,4.457980347E1,1.242631531E1
2.463455875E0,-1.835231018E1,4.450457764E1,1.230804443E1
2.483370875E0,-1.748829651E1,4.502397156E1,1.118324280E1
2.503286875E0,-1.574151707E1,4.588038635E1,1.102830505E1
2.523202875E0,-1.496078682E1,4.609223938E1,1.074481201E1
2.543118875E0,-1.471598530E1,4.580841064E1,1.063185120E1
2.563034000E0,-1.600350380E1,4.591247559E1,1.100148010E1
2.582950000E0,-1.692177773E1,4.520300293E1,1.168467712E1
2.602866000E0,-1.687700272E1,4.451036072E1,1.429597473E1
2.622782000E0,-1.544001007E1,4.350990295E1,1.881504822E1
2.642697000E0,-1.354658890E1,4.251583862E1,2.168148804E1
2.662613000E0,-1.308945847E1,4.218048096E1,2.266375732E1
2.682529000E0,-1.396788883E1,4.240904236E1,2.221911621E1
2.702445000E0,-1.515426731E1,4.265754700E1,2.030572510E1
2.722361000E0,-1.664507103E1,4.276821899E1,1.870587158E1
2.742276000E0,-1.792281914E1,4.283599854E1,1.825205994E1
2.762192000E0,-1.845915794E1,4.278804016E1,1.786550903E1
2.782108000E0,-1.789177322E1,4.264442444E1,1.786183167E1
2.802024000E0,-1.786267471E1,4.320310974E1,1.770909119E1
2.821939000E0,-1.787871170E1,4.320013428E1,1.748806763E1
2.841855000E0,-1.870780373E1,4.313339233E1,1.722337341E1
2.861771000E0,-1.941209412E1,4.296185303E1,1.694705200E1
2.881687000E0,-1.954468536E1,4.261387634E1,1.647616577E1
2.901602000E0,-1.981801796E1,4.258746338E1,1.626220703E1
2.921518000E0,-2.004428291E1,4.240512085E1,1.642312622E1
2.941434000E0,-2.040615082E1,4.227384949E1,1.672531128E1
2.961350000E0,-2.051245689E1,4.181243896E1,1.702963257E1
2.981265000E0,-2.104425430E1,4.165483093E1,1.671174622E1
3.001181000E0,-2.174058533E1,4.134909058E1,1.622875977E1
3.021097000E0,-2.288350105E1,4.141412354E1,1.554217529E1
3.041013000E0,-2.375243759E1,4.094827271E1,1.482000732E1
3.060929000E0,-2.472485733E1,4.065940857E1,1.431758118E1
3.080844000E0,-2.558431053E1,4.051676941E1,1.344090271E1
3.100760000E0,-2.584413147E1,4.043235779E1,1.250547791E1
3.120676000E0,-2.651733971E1,4.029653931E1,1.074470520E1
3.140592000E0,-2.678757095E1,4.079234314E1,8.732147217E0
3.160507000E0,-2.678462601E1,4.142518616E1,5.779205322E0
3.180423000E0,-2.647248268E1,4.194287109E1,3.081268311E0
3.200339000E0,-2.511496925E1,4.293632507E1,4.443664551E-1
3.220255000E0,-2.386880875E1,4.373873901E1,-8.653411865E-1
3.240170000E0,-2.198538208E1,4.448854065E1,-1.345077515E0
3.260086000E0,-2.029981613E1,4.535035706E1,-1.838333130E0
3.280002000E0,-1.860509491E1,4.618296814E1,-2.609695435E0
3.299918000E0,-1.739258385E1,4.633235168E1,-4.036956787E0
3.319834000E0,-1.677493095E1,4.647552490E1,-4.861892700E0
3.339749000E0,-1.583128834E1,4.674255371E1,-5.772628784E0
3.359665000E0,-1.507330227E1,4.701562500E1,-7.139755249E0
3.379581000E0,-1.384789371E1,4.698391724E1,-9.562194824E0
3.399497000E0,-1.205992794E1,4.711987305E1,-1.080770874E1
3.419412000E0,-1.029949856E1,4.741658020E1,-1.122714233E1
3.439328000E0,-8.374438286E0,4.765213013E1,-1.185168457E1
