"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668995604100013E9,"2022-11-21 09:53:24.100 UTC+08:00"
"PAUSE",3.569677434999030E2,1.668995961214876E9,"2022-11-21 09:59:21.215 UTC+08:00"
