"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.845070831E-2,-3.090787828E-1,-2.261631042E-1,1.700343788E-1
4.853570834E-2,-4.620954692E-1,-2.891171277E-1,2.787588835E-1
6.862070831E-2,-3.697145283E-1,-2.474608868E-1,3.355875015E-1
8.870570833E-2,-2.264681756E-1,-3.115701675E-1,2.983191907E-1
1.087907084E-1,-1.626530141E-1,-5.664014220E-1,1.778623015E-1
1.288757083E-1,-2.497703135E-1,-7.022508383E-1,5.472517759E-2
1.489597083E-1,-4.826738536E-1,-7.884051800E-1,-9.245282039E-3
1.690447083E-1,-6.701011658E-1,-7.859634757E-1,-4.942371510E-3
1.891297083E-1,-6.321090460E-1,-4.388916194E-1,-5.314171314E-2
2.092147083E-1,-4.438376427E-1,1.705292910E-1,-2.361702323E-1
2.292997083E-1,1.502303407E-2,3.811980784E-1,-4.795732200E-1
2.493847084E-1,6.484082937E-1,3.142875433E-2,-6.917091608E-1
2.694697083E-1,1.038483500E0,-3.922723830E-1,-9.289367199E-1
2.895547083E-1,1.144295931E0,-5.430183411E-1,-1.004128695E0
3.096397083E-1,1.154223919E0,-5.690912604E-1,-9.200069308E-1
3.297237083E-1,1.162557721E0,-5.489427447E-1,-7.592344880E-1
3.498087084E-1,1.063857794E0,-5.445295572E-1,-5.642254949E-1
3.698937083E-1,6.859230399E-1,-5.413650274E-1,-4.005139768E-1
3.899787084E-1,1.722616404E-1,-4.636295736E-1,-2.662486732E-1
4.100639583E-1,-1.881295890E-1,-3.071719706E-1,-1.474023610E-1
4.301489583E-1,-4.367884696E-1,1.802668534E-2,-1.383272186E-2
4.502339583E-1,-5.301963091E-1,2.071614116E-1,1.100410968E-1
4.703189583E-1,-5.365208983E-1,4.834828153E-2,8.695529401E-2
4.904039583E-1,-4.954103231E-1,-3.976184726E-1,-8.099970967E-2
5.104879583E-1,-4.562712014E-1,-7.635365725E-1,-2.201464027E-1
5.305729583E-1,-4.382568896E-1,-8.544843197E-1,-2.320392132E-1
5.506579583E-1,-3.904326856E-1,-6.689265370E-1,-2.142152637E-1
