"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.816006000E0,-2.779602051E0,-3.876744843E1,-3.079867554E1
1.836091000E0,-3.191467285E0,-3.862744141E1,-3.110678101E1
1.856176000E0,-4.668823242E0,-3.848513031E1,-3.112609863E1
1.876260000E0,-6.527832031E0,-3.860354614E1,-3.060110474E1
1.896345000E0,-8.268920898E0,-3.884530640E1,-3.010906982E1
1.916430000E0,-9.698913574E0,-3.913595581E1,-2.928683472E1
1.936515000E0,-1.067990112E1,-3.936635590E1,-2.844039917E1
1.956600000E0,-1.151702881E1,-3.977243042E1,-2.777435303E1
1.976685000E0,-1.213574219E1,-4.008438110E1,-2.687231445E1
1.996770000E0,-1.274172974E1,-4.015920258E1,-2.665084839E1
2.016855000E0,-1.282543945E1,-4.014079285E1,-2.691400146E1
2.036939000E0,-1.259060669E1,-3.993939972E1,-2.716467285E1
2.057024000E0,-1.241381836E1,-3.968668365E1,-2.743182373E1
2.077109000E0,-1.204364014E1,-3.994748688E1,-2.730093384E1
2.097194000E0,-1.053024292E1,-4.066688538E1,-2.677496338E1
2.117279000E0,-8.191589355E0,-4.163468933E1,-2.613769531E1
2.137364000E0,-4.800231934E0,-4.289513397E1,-2.496011353E1
2.157449000E0,-1.572753906E0,-4.413887787E1,-2.306765747E1
2.177534000E0,1.738281250E-1,-4.490914154E1,-2.145327759E1
2.197619000E0,1.483703613E0,-4.554309845E1,-2.058840942E1
2.217703000E0,2.560241699E0,-4.551346588E1,-2.040808105E1
2.237788000E0,3.795166016E0,-4.519716644E1,-2.085751343E1
2.257873000E0,4.734802246E0,-4.463822174E1,-2.213735962E1
2.277958000E0,5.546997070E0,-4.355005646E1,-2.378503418E1
2.298043000E0,6.395324707E0,-4.202317810E1,-2.594079590E1
2.318128000E0,6.632019043E0,-4.054603577E1,-2.786465454E1
2.338213000E0,6.455383301E0,-3.937004852E1,-2.993032837E1
2.358298000E0,4.990600586E0,-3.792441559E1,-3.195251465E1
2.378382000E0,2.713012695E0,-3.639392853E1,-3.367831421E1
2.398467000E0,1.624145508E-1,-3.558640289E1,-3.489324951E1
2.418551583E0,-2.127258301E0,-3.470191193E1,-3.545104980E1
2.438636583E0,-4.412048340E0,-3.392134094E1,-3.610681152E1
2.458721583E0,-6.578247070E0,-3.323807526E1,-3.646368408E1
2.478806583E0,-8.789733887E0,-3.252211761E1,-3.645666504E1
2.498891583E0,-1.042742920E1,-3.210206604E1,-3.646530151E1
2.518976583E0,-1.177539062E1,-3.171478271E1,-3.638757324E1
2.539060583E0,-1.308169556E1,-3.123813629E1,-3.635147095E1
2.559145583E0,-1.402365112E1,-3.073272705E1,-3.670910645E1
2.579230583E0,-1.462677002E1,-3.035308075E1,-3.666857910E1
2.599315583E0,-1.470230103E1,-3.025568390E1,-3.665600586E1
2.619400583E0,-1.481018066E1,-3.000089264E1,-3.689483643E1
2.639485583E0,-1.502200317E1,-2.931282043E1,-3.721075439E1
2.659570583E0,-1.489981079E1,-2.846637726E1,-3.792605591E1
2.679655583E0,-1.436257935E1,-2.789428711E1,-3.859265137E1
2.699739583E0,-1.367495728E1,-2.810935974E1,-3.866384888E1
2.719824583E0,-1.253100586E1,-2.921803284E1,-3.819778442E1
2.739909583E0,-1.034216309E1,-3.038811493E1,-3.794250488E1
2.759994583E0,-8.983520508E0,-3.121994781E1,-3.765454102E1
2.780079583E0,-8.392822266E0,-3.190505981E1,-3.722363281E1
2.800164583E0,-8.572326660E0,-3.226482391E1,-3.670742798E1
2.820249583E0,-8.774841309E0,-3.238660431E1,-3.646316528E1
2.840334583E0,-8.736328125E0,-3.255197144E1,-3.646704102E1
2.860418583E0,-8.724426270E0,-3.248565674E1,-3.654077148E1
2.880503583E0,-8.751586914E0,-3.220014191E1,-3.678771973E1
2.900588583E0,-8.678161621E0,-3.185854340E1,-3.717196655E1
2.920673583E0,-8.796630859E0,-3.161989594E1,-3.721945190E1
2.940758583E0,-9.257812500E0,-3.134505463E1,-3.729895020E1
2.960843583E0,-9.925750732E0,-3.084390259E1,-3.763235474E1
2.980928583E0,-1.082592773E1,-3.006703186E1,-3.813070679E1
3.001013583E0,-1.201104736E1,-2.867115021E1,-3.872842407E1
3.021097583E0,-1.337988281E1,-2.679122925E1,-3.940899658E1
3.041182583E0,-1.504885864E1,-2.459786224E1,-4.056027222E1
3.061267583E0,-1.688659668E1,-2.177666473E1,-4.144735718E1
3.081352583E0,-1.883825684E1,-1.852988434E1,-4.204724121E1
3.101437583E0,-2.090155029E1,-1.552953339E1,-4.242907715E1
3.121522583E0,-2.285363770E1,-1.327854919E1,-4.231213379E1
3.141607583E0,-2.459030151E1,-1.176654053E1,-4.152774048E1
3.161692583E0,-2.619204712E1,-1.079045105E1,-4.084762573E1
3.181776583E0,-2.741128540E1,-1.048085785E1,-4.025198364E1
3.201861583E0,-2.834335327E1,-1.019741058E1,-3.981814575E1
3.221946583E0,-2.930126953E1,-9.975181580E0,-3.910708618E1
3.242031583E0,-3.006112671E1,-9.675453186E0,-3.846243286E1
3.262116583E0,-3.102206421E1,-9.116035461E0,-3.781732178E1
3.282201583E0,-3.202709961E1,-8.526580811E0,-3.715106201E1
3.302286583E0,-3.272918701E1,-8.637390137E0,-3.640332031E1
3.322371583E0,-3.307827759E1,-9.416831970E0,-3.586138916E1
3.342456583E0,-3.320034790E1,-1.097029877E1,-3.531744385E1
3.362540583E0,-3.284341431E1,-1.302752686E1,-3.453601074E1
3.382625583E0,-3.271615601E1,-1.402059174E1,-3.433123779E1
3.402710583E0,-3.227172852E1,-1.592504883E1,-3.430435181E1
3.422795333E0,-3.145373535E1,-1.751976013E1,-3.389096069E1
3.442880333E0,-3.076586914E1,-1.863844299E1,-3.404513550E1
3.462965333E0,-3.001251221E1,-1.959790039E1,-3.438577271E1
3.483050333E0,-2.893313599E1,-2.034661865E1,-3.469995117E1
3.503135333E0,-2.782507324E1,-2.148169708E1,-3.520217896E1
3.523219333E0,-2.650869751E1,-2.288819122E1,-3.524841309E1
3.543304333E0,-2.522451782E1,-2.445718384E1,-3.488442993E1
3.563389333E0,-2.413092041E1,-2.605713654E1,-3.480892944E1
3.583474333E0,-2.282284546E1,-2.784339905E1,-3.436569214E1
3.603559333E0,-2.163058472E1,-2.956716156E1,-3.374279785E1
3.623644333E0,-2.049951172E1,-3.112281799E1,-3.303250122E1
3.643729333E0,-1.949310303E1,-3.273756409E1,-3.209014893E1
3.663814333E0,-1.850372314E1,-3.445001984E1,-3.109780884E1
3.683898333E0,-1.756076050E1,-3.594904327E1,-2.990206909E1
3.703983333E0,-1.641961670E1,-3.754531860E1,-2.861495972E1
3.724068333E0,-1.527221680E1,-3.902984619E1,-2.719445801E1
3.744153333E0,-1.413427734E1,-4.051760101E1,-2.576632690E1
3.764238333E0,-1.292300415E1,-4.202522278E1,-2.392977905E1
3.784323333E0,-1.179232788E1,-4.355582428E1,-2.189141846E1
3.804408333E0,-1.105398560E1,-4.469733429E1,-1.960937500E1
3.824493333E0,-1.083816528E1,-4.581761932E1,-1.749749756E1
3.844577333E0,-1.100213623E1,-4.632880402E1,-1.617968750E1
3.864662333E0,-1.138055420E1,-4.625045013E1,-1.550494385E1
3.884747333E0,-1.175299072E1,-4.639046478E1,-1.507852173E1
3.904832333E0,-1.261776733E1,-4.622934723E1,-1.469653320E1
3.924917333E0,-1.344006348E1,-4.634943390E1,-1.367047119E1
3.945002333E0,-1.428195190E1,-4.652289581E1,-1.228710938E1
3.965087333E0,-1.483859253E1,-4.682772064E1,-1.078738403E1
3.985172333E0,-1.519680786E1,-4.701482391E1,-9.168731689E0
4.005256333E0,-1.551385498E1,-4.717226410E1,-7.914306641E0
4.025341333E0,-1.569833374E1,-4.715038300E1,-7.095123291E0
4.045426333E0,-1.589569092E1,-4.727796173E1,-6.523925781E0
4.065511333E0,-1.625155640E1,-4.711341095E1,-6.470550537E0
4.085596333E0,-1.669451904E1,-4.703026581E1,-6.930633545E0
4.105681333E0,-1.756594849E1,-4.653104401E1,-7.371765137E0
4.125766333E0,-1.861935425E1,-4.612555695E1,-7.811584473E0
4.145851333E0,-1.881362915E1,-4.603234100E1,-7.808746338E0
4.165936333E0,-1.933776855E1,-4.577542877E1,-7.817291260E0
4.186020333E0,-1.975912476E1,-4.552352142E1,-8.044494629E0
4.206105333E0,-2.020043945E1,-4.522318268E1,-8.437713623E0
4.226190333E0,-2.029638672E1,-4.512033844E1,-9.000488281E0
4.246275333E0,-2.066491699E1,-4.490531158E1,-9.001586914E0
4.266360333E0,-2.104953003E1,-4.493289948E1,-9.057647705E0
4.286445333E0,-2.142959595E1,-4.447487640E1,-9.330047607E0
4.306530333E0,-2.154901123E1,-4.435208893E1,-9.594543457E0
4.326615333E0,-2.194464111E1,-4.412429047E1,-9.784088135E0
4.346699333E0,-2.253341675E1,-4.386124420E1,-9.745819092E0
4.366784333E0,-2.274566650E1,-4.362378693E1,-1.041268921E1
4.386869333E0,-2.307183838E1,-4.322908783E1,-1.089855957E1
4.406954333E0,-2.354165649E1,-4.282382965E1,-1.204333496E1
4.427039708E0,-2.393572998E1,-4.246484375E1,-1.288659668E1
4.447124708E0,-2.431338501E1,-4.200533295E1,-1.293960571E1
4.467209708E0,-2.456582642E1,-4.197547913E1,-1.264288330E1
4.487294708E0,-2.471963501E1,-4.203684235E1,-1.205477905E1
4.507378708E0,-2.481661987E1,-4.213591766E1,-1.195401001E1
4.527463708E0,-2.480056763E1,-4.228054810E1,-1.155654907E1
4.547548708E0,-2.483392334E1,-4.215706635E1,-1.179574585E1
4.567633708E0,-2.474066162E1,-4.203635406E1,-1.245230103E1
4.587718708E0,-2.472784424E1,-4.182023621E1,-1.271069336E1
4.607803708E0,-2.448806763E1,-4.175016785E1,-1.328060913E1
4.627888708E0,-2.419818115E1,-4.166944122E1,-1.353594971E1
4.647973708E0,-2.376266479E1,-4.192207336E1,-1.333688354E1
4.668058708E0,-2.347244263E1,-4.226673889E1,-1.314013672E1
4.688142708E0,-2.324307251E1,-4.257848358E1,-1.215576172E1
4.708227708E0,-2.321908569E1,-4.284146881E1,-1.164501953E1
4.728312708E0,-2.328033447E1,-4.311965179E1,-1.141854858E1
4.748397708E0,-2.337570190E1,-4.320082855E1,-1.075289917E1
4.768482708E0,-2.354409790E1,-4.299463654E1,-1.072665405E1
4.788567708E0,-2.363992310E1,-4.312355804E1,-1.049343872E1
4.808652708E0,-2.395599365E1,-4.286246490E1,-1.037677002E1
4.828737708E0,-2.424502563E1,-4.255547333E1,-1.077673340E1
4.848821708E0,-2.469509888E1,-4.219314575E1,-1.113635254E1
4.868906708E0,-2.499542236E1,-4.181743622E1,-1.184957886E1
4.888991708E0,-2.526843262E1,-4.152732086E1,-1.208874512E1
4.909076708E0,-2.563739014E1,-4.109059906E1,-1.274429321E1
4.929161708E0,-2.565502930E1,-4.081322479E1,-1.326278687E1
4.949246708E0,-2.635275269E1,-4.012332916E1,-1.441976929E1
4.969331708E0,-2.672534180E1,-3.939660645E1,-1.549880981E1
4.989416708E0,-2.710073853E1,-3.887314606E1,-1.608145142E1
5.009500708E0,-2.741326904E1,-3.861843872E1,-1.610101318E1
5.029585708E0,-2.756115723E1,-3.868402100E1,-1.573477173E1
5.049670708E0,-2.771060181E1,-3.863995361E1,-1.556289673E1
5.069755708E0,-2.776806641E1,-3.858957672E1,-1.569985962E1
5.089840708E0,-2.803674316E1,-3.828771210E1,-1.599252319E1
5.109925708E0,-2.847006226E1,-3.783184052E1,-1.670605469E1
5.130010708E0,-2.876574707E1,-3.709476471E1,-1.757666016E1
5.150095708E0,-2.905187988E1,-3.650436401E1,-1.816940308E1
5.170180708E0,-2.935287476E1,-3.590825653E1,-1.883245850E1
5.190264708E0,-2.962548828E1,-3.576365662E1,-1.846771240E1
5.210349708E0,-2.994253540E1,-3.560674286E1,-1.851406860E1
5.230434708E0,-3.004077148E1,-3.562748718E1,-1.863577271E1
5.250519708E0,-2.989883423E1,-3.572598267E1,-1.849993896E1
5.270604708E0,-3.004061890E1,-3.554319763E1,-1.860516357E1
5.290689708E0,-3.014877319E1,-3.533551788E1,-1.878674316E1
5.310774708E0,-3.021908569E1,-3.503997803E1,-1.900646973E1
5.330859708E0,-3.044094849E1,-3.493349457E1,-1.909127808E1
5.350943708E0,-3.060058594E1,-3.462278748E1,-1.918978882E1
5.371028708E0,-3.103091431E1,-3.427130127E1,-1.890350342E1
5.391113708E0,-3.143093872E1,-3.396592712E1,-1.907894897E1
5.411197958E0,-3.172665405E1,-3.360507965E1,-1.903628540E1
5.431282958E0,-3.211856079E1,-3.324050903E1,-1.908386230E1
5.451367958E0,-3.265072632E1,-3.278632355E1,-1.895178223E1
5.471452958E0,-3.326766968E1,-3.215846252E1,-1.921621704E1
5.491537958E0,-3.361514282E1,-3.133656311E1,-1.952331543E1
5.511622958E0,-3.373550415E1,-3.075735474E1,-2.022848511E1
5.531706958E0,-3.415298462E1,-3.003717041E1,-2.078915405E1
5.551791958E0,-3.446585083E1,-2.958941650E1,-2.056137085E1
5.571876958E0,-3.465182495E1,-2.987037659E1,-2.000317383E1
5.591961958E0,-3.461801147E1,-3.006209564E1,-1.965359497E1
5.612046958E0,-3.478366089E1,-3.025547028E1,-1.940023804E1
5.632131958E0,-3.447570801E1,-3.059258270E1,-1.918872070E1
5.652216958E0,-3.392541504E1,-3.085951233E1,-1.944161987E1
5.672301958E0,-3.365075684E1,-3.114432526E1,-1.968389893E1
5.692385958E0,-3.333212280E1,-3.137074280E1,-2.009930420E1
5.712470958E0,-3.316601562E1,-3.138079071E1,-2.047232056E1
5.732555958E0,-3.267742920E1,-3.164685822E1,-2.060092163E1
5.752640958E0,-3.249819946E1,-3.201367188E1,-2.036734009E1
5.772725958E0,-3.225576782E1,-3.256759644E1,-1.971633911E1
5.792810958E0,-3.195330811E1,-3.322612762E1,-1.955169678E1
5.812895958E0,-3.135571289E1,-3.378588867E1,-1.904229736E1
5.832980958E0,-3.102185059E1,-3.433177948E1,-1.898446655E1
5.853065958E0,-3.066345215E1,-3.472032928E1,-1.893014526E1
5.873149958E0,-3.025772095E1,-3.507618713E1,-1.869454956E1
5.893234958E0,-3.006503296E1,-3.517206573E1,-1.887655640E1
5.913319958E0,-2.992596436E1,-3.504949188E1,-1.939178467E1
5.933404958E0,-2.950558472E1,-3.519947052E1,-1.987634277E1
5.953489958E0,-2.924893188E1,-3.508963013E1,-2.022061157E1
5.973574958E0,-2.901046753E1,-3.500521088E1,-2.071087646E1
5.993659958E0,-2.875134277E1,-3.450818634E1,-2.192370605E1
6.013744958E0,-2.847055054E1,-3.386920166E1,-2.319531250E1
6.033828958E0,-2.782400513E1,-3.353930664E1,-2.435101318E1
6.053913958E0,-2.723358154E1,-3.277962494E1,-2.581735229E1
6.073998958E0,-2.659411621E1,-3.188632965E1,-2.776226807E1
6.094083958E0,-2.508166504E1,-3.146700287E1,-2.943698120E1
6.114168958E0,-2.307446289E1,-3.137812042E1,-3.101312256E1
6.134253958E0,-2.074890137E1,-3.156080627E1,-3.270385742E1
6.154338958E0,-1.856906128E1,-3.204724884E1,-3.334005737E1
6.174423958E0,-1.602621460E1,-3.218417358E1,-3.450927734E1
6.194508958E0,-1.358728027E1,-3.192781830E1,-3.561941528E1
6.214592958E0,-1.184970093E1,-3.082218170E1,-3.714431763E1
6.234677958E0,-1.061764526E1,-2.917567444E1,-3.884185791E1
6.254762958E0,-8.473999023E0,-2.663314056E1,-4.085629272E1
6.274847958E0,-4.909301758E0,-2.360253143E1,-4.295385742E1
6.294932958E0,-5.391845703E-1,-1.941564941E1,-4.531307983E1
6.315017958E0,4.106079102E0,-1.429148102E1,-4.697235107E1
6.335102958E0,8.829040527E0,-8.906196594E0,-4.749444580E1
6.355187958E0,1.266772461E1,-4.770721436E0,-4.713049316E1
6.375271958E0,1.587036133E1,-1.952545166E0,-4.621347046E1
6.395356958E0,1.883447266E1,3.989868164E-1,-4.534094238E1
6.415442500E0,2.129217529E1,2.503807068E0,-4.401144409E1
6.435527500E0,2.364044189E1,4.285881042E0,-4.256335449E1
6.455612500E0,2.563616943E1,5.623275757E0,-4.135360718E1
6.475697500E0,2.655895996E1,5.963562012E0,-4.068414307E1
6.495782500E0,2.809942627E1,6.079116821E0,-3.952770996E1
6.515867500E0,2.932598877E1,5.585479736E0,-3.895989990E1
6.535952500E0,3.033935547E1,4.598281860E0,-3.805337524E1
6.556036500E0,3.121484375E1,3.444183350E0,-3.782901001E1
6.576121500E0,3.153497314E1,2.834388733E0,-3.744839478E1
6.596206500E0,3.138208008E1,2.734138489E0,-3.743255615E1
6.616291500E0,3.032769775E1,2.881210327E0,-3.850268555E1
6.636376500E0,2.824902344E1,3.246688843E0,-3.966259766E1
6.656461500E0,2.552478027E1,3.615684509E0,-4.163577271E1
6.676546500E0,2.141748047E1,4.074012756E0,-4.369427490E1
6.696631500E0,1.590344238E1,4.658096313E0,-4.607849121E1
6.716716500E0,8.187255859E0,5.480827332E0,-4.787368774E1
6.736800500E0,-1.978393555E0,6.456390381E0,-4.831527710E1
