"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668938312530946E9,"2022-11-20 17:58:32.531 UTC+08:00"
"PAUSE",1.506109894167166E2,1.668938463138137E9,"2022-11-20 18:01:03.138 UTC+08:00"
