"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668750096176023E9,"2022-11-18 13:41:36.176 UTC+08:00"
"PAUSE",6.000254352083430E2,1.668750696197172E9,"2022-11-18 13:51:36.197 UTC+08:00"
