"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.935987502E-2,9.634494036E-2,5.354700983E-2,2.058063149E-1
5.929887504E-2,2.422346622E-1,-7.507536560E-2,2.291003615E-1
7.923675003E-2,1.051291674E-1,-3.173221350E-1,3.125344813E-1
9.917575005E-2,-1.330299377E-1,-4.048516154E-1,4.969938993E-1
1.191147501E-1,-3.820934296E-1,-4.882459715E-2,6.386427283E-1
1.390537501E-1,-1.988196373E-1,2.436852306E-1,7.689852715E-1
1.589937501E-1,8.869569749E-2,6.216357946E-1,8.094279170E-1
1.789327501E-1,3.764667511E-1,2.477796227E-1,9.151308537E-1
1.988717502E-1,6.429923177E-1,-4.022819996E-1,9.581475258E-1
2.188107502E-1,5.996249318E-1,-6.061523557E-1,7.579224706E-1
2.387497502E-1,4.275744855E-1,-3.045687377E-1,5.506963730E-1
2.586887502E-1,4.881641567E-1,-3.501988649E-1,7.273995876E-1
2.786277500E-1,2.452724129E-1,3.527086228E-2,9.075298309E-1
2.985667500E-1,-3.195447326E-1,-5.287807584E-1,9.164060354E-1
3.185057500E-1,-1.008802652E0,-1.432053447E0,6.910984516E-1
3.384447501E-1,-1.335258961E0,-1.710304856E0,6.157280505E-2
3.583837501E-1,-1.709394813E0,-9.813339710E-1,-5.993657708E-1
3.783227501E-1,-1.847937942E0,-7.915117145E-1,-9.358526468E-1
3.982617501E-1,-1.816863179E0,-7.740520835E-1,-1.088433266E0
4.182007501E-1,-2.658026934E0,-9.752535075E-2,-1.167742252E0
4.381407502E-1,-2.404696465E0,2.944864333E-2,-1.352879167E0
4.580797502E-1,-9.160883427E-1,-1.366264075E-1,-1.109276414E0
4.780187502E-1,6.568495631E-1,4.173348844E-1,-7.311957479E-1
4.979577500E-1,2.166662931E0,8.124887943E-1,-3.310519457E-1
5.178967500E-1,3.243275642E0,1.111580372E0,-2.018924057E-1
5.378357500E-1,3.385791540E0,6.381444335E-1,-1.621466875E-1
5.577747501E-1,2.077985525E0,-1.305914402E0,-5.668846965E-1
5.777137501E-1,9.086378664E-2,-5.962789655E-1,-9.563251138E-1
5.976527501E-1,-6.511215568E-1,8.124002218E-1,-5.181857347E-1
6.175917501E-1,-5.200485587E-1,9.616237283E-1,-1.849540621E-1
6.375307501E-1,-2.074530870E-1,-5.635744333E-1,5.930966884E-2
6.574697501E-1,5.502945557E-2,-3.691294193E-1,-1.755258590E-1
6.774087502E-1,-2.599637508E-1,-3.776299655E-1,-1.067151725E-1
6.973477502E-1,-5.512548089E-1,-6.391417384E-1,1.195355579E-1
7.172877502E-1,-7.253426313E-1,-3.291194141E-1,3.175600171E-1
7.372267500E-1,-7.445216179E-1,-3.106559068E-2,5.610085726E-1
7.571657500E-1,-4.378433526E-1,-1.460158974E-1,5.560679436E-1
7.771047500E-1,-2.021058202E-1,-5.955591202E-1,5.443282127E-1
7.970437501E-1,-2.787224390E-2,-1.299227834E0,4.944671392E-1
8.169827501E-1,2.734387293E-2,-1.649821758E0,2.913390398E-1
8.369217501E-1,6.493508071E-2,-2.207358360E0,3.360344470E-1
8.568607501E-1,3.771250546E-1,-2.767452955E0,6.398438215E-1
8.767997501E-1,8.275858760E-1,-2.599777222E0,8.021273017E-1
8.967387502E-1,7.901666760E-1,-2.124062300E0,9.755199552E-1
9.166777502E-1,1.349822879E-1,-2.108229876E0,1.092498302E0
9.366167502E-1,-4.774723053E-1,-2.688388109E0,1.131657600E0
9.565557500E-1,-5.652637482E-1,-3.622187853E0,1.179535389E0
9.764947500E-1,-5.851985812E-1,-3.795753241E0,1.399423122E0
9.964347500E-1,-7.569116950E-1,-3.082399368E0,1.443145752E0
1.016373750E0,-4.571910799E-1,-2.103382826E0,5.698965788E-1
1.036312750E0,4.332811534E-1,-2.537707567E0,-5.808677152E-2
1.056251750E0,1.520804524E0,-3.540766239E0,-8.125506341E-2
1.076190708E0,1.759622693E0,-3.283003092E0,9.504969716E-1
1.096129708E0,1.159716964E0,-2.597311974E0,1.487087369E0
1.116068708E0,7.317886949E-1,-2.340244532E0,1.757837534E0
1.136007708E0,7.407092452E-1,-3.088214636E0,1.826078773E0
1.155946709E0,4.365758598E-1,-3.263372421E0,2.135778189E0
1.175885709E0,-3.056680560E-1,-2.538493872E0,2.714598417E0
1.195824708E0,-8.920172453E-1,-1.797825336E0,3.315045595E0
1.215763708E0,-1.078742385E0,-1.886722684E0,3.573031187E0
1.235702708E0,-1.015735030E0,-2.395744562E0,3.567433357E0
1.255642708E0,-1.028358459E0,-2.501391411E0,3.651857138E0
1.275581708E0,-1.046988368E0,-1.887855291E0,4.154173851E0
1.295520708E0,-9.885812998E-1,-1.211531520E0,4.623385906E0
1.315459708E0,-6.049046516E-1,-1.273931623E0,4.967371941E0
1.335398708E0,3.422430158E-1,-1.522445798E0,5.191807747E0
1.355337708E0,1.316613555E0,-1.017487288E0,4.983678341E0
1.375276709E0,1.915628195E0,-4.223595858E-1,3.792761326E0
1.395215709E0,2.570321560E0,-2.712095082E-1,2.513947010E0
1.415154709E0,3.264194250E0,-6.093111634E-1,1.112002134E0
1.435093708E0,2.921185732E0,-7.346453667E-1,-4.309938252E-1
1.455032708E0,1.525082707E0,-3.194971085E-1,-1.546017885E0
1.474971708E0,4.017438591E-1,-5.006397963E-1,-2.223688364E0
1.494910708E0,1.183779091E-1,-1.244725347E0,-2.855283022E0
1.514849708E0,-1.500148773E-1,-1.496569037E0,-3.247400522E0
1.534789708E0,-2.419521511E-1,-1.251916409E0,-3.221269608E0
1.554728708E0,3.747854531E-1,-1.256643414E0,-3.230555534E0
1.574667708E0,1.880452871E0,-1.290974379E0,-2.729526997E0
1.594606709E0,2.836331367E0,-1.580445051E0,-3.889862537E0
1.614545709E0,2.712761879E0,-1.748808622E0,-4.211892128E0
1.634484709E0,1.438239217E0,-4.044162929E-1,-4.363723755E0
1.654423708E0,-9.618608356E-1,1.866872311E0,-3.776099443E0
1.674362708E0,-3.165265799E0,4.326859951E0,-2.818052769E0
1.694301708E0,-3.832422972E0,4.253970146E0,-1.828820586E0
1.714240708E0,-3.302260637E0,2.987976074E0,-7.141600847E-1
1.734179708E0,-2.812256813E0,1.060985446E0,7.581962645E-2
1.754118708E0,-4.107339382E0,9.896798730E-1,6.735431552E-1
1.774057708E0,-4.467303753E0,-1.510026306E-1,5.004196763E-1
1.793996708E0,-1.772200704E0,-4.044266939E-1,-4.666664600E-1
1.813936708E0,-1.436766535E-1,2.299177088E-2,-4.384319186E-1
1.833875709E0,4.940812588E-1,3.540226817E-1,-4.291827977E-1
1.853814709E0,1.352637410E0,-1.051567316E0,-3.462453783E-1
1.873753708E0,2.785804987E0,-2.460946083E0,-3.140786290E-1
1.893692708E0,4.009114265E0,-3.106820583E0,-2.549282610E-1
1.913631708E0,4.403938770E0,-3.540525675E0,-1.090309173E-1
1.933570708E0,4.161094189E0,-3.408349037E0,-2.484676838E-1
1.953509708E0,2.850349903E0,-2.822440863E0,-1.268831015E0
1.973448708E0,2.084211826E0,-3.258549452E0,-1.827632666E0
1.993387708E0,7.765227556E-1,-3.873023093E-1,-1.258735299E0
2.013326708E0,-6.639505625E-1,1.244403720E0,-1.026427746E0
2.033265708E0,-1.819615126E0,2.397379875E0,-1.759544611E0
2.053204708E0,-2.001732588E0,1.942144752E0,-1.206672668E0
2.073144208E0,-1.706229091E0,1.826662540E0,-6.801452637E-1
2.093084208E0,-1.403109550E0,2.031980276E0,-4.197671115E-1
2.113023208E0,-1.365019560E0,9.478769898E-1,7.205048576E-3
2.132962208E0,-1.470795512E0,5.482594967E-1,-1.155929789E-1
2.152901208E0,-1.477562070E0,6.323550344E-1,-5.309803411E-2
2.172840209E0,-1.285650134E0,1.155321479E0,1.011483595E-1
2.192779209E0,-9.592238069E-1,2.102512121E0,1.554118991E-1
2.212718208E0,-6.488677114E-2,3.085588455E0,2.167972177E-1
2.232657208E0,1.049504042E0,1.583382964E0,-8.705866337E-2
2.252596208E0,1.266665459E0,4.754497409E-1,-4.077385366E-1
2.272535208E0,1.271253586E0,1.080640912E0,-8.016886711E-1
