"Time (s)","Distance (cm)"
3.030829178E-2,5.000000000E0
1.457162167E0,0.000000000E0
4.699004412E2,5.000000000E0
4.713791152E2,0.000000000E0
4.723357263E2,5.000000000E0
4.730478900E2,0.000000000E0
4.737855183E2,5.000000000E0
4.743477511E2,0.000000000E0
4.744477543E2,5.000000000E0
