"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.935987502E-2,-1.339205933E1,-3.876673508E1,-1.808984375E1
5.929887504E-2,-1.360859680E1,-3.885350418E1,-1.785853577E1
7.923675003E-2,-1.394200897E1,-3.886048126E1,-1.779559326E1
9.917575005E-2,-1.432836151E1,-3.857063293E1,-1.736137390E1
1.191147501E-1,-1.475524902E1,-3.839133453E1,-1.767963409E1
1.390537501E-1,-1.552654266E1,-3.805013275E1,-1.823528290E1
1.589937501E-1,-1.588775635E1,-3.799212265E1,-1.844261932E1
1.789327501E-1,-1.625938416E1,-3.783483887E1,-1.849250031E1
1.988717502E-1,-1.704650116E1,-3.773649597E1,-1.779033661E1
2.188107502E-1,-1.807772064E1,-3.748902130E1,-1.760312653E1
2.387497502E-1,-1.866474915E1,-3.751422119E1,-1.676782227E1
2.586887502E-1,-1.928457642E1,-3.739785767E1,-1.627638245E1
2.786277500E-1,-2.011408997E1,-3.745868683E1,-1.594123840E1
2.985667500E-1,-2.083296204E1,-3.693501282E1,-1.613034058E1
3.185057500E-1,-2.160725403E1,-3.649975967E1,-1.573170471E1
3.384447501E-1,-2.258311462E1,-3.587437820E1,-1.606555176E1
3.583837501E-1,-2.312345123E1,-3.524682236E1,-1.633975220E1
3.783227501E-1,-2.285414886E1,-3.512793732E1,-1.722592926E1
3.982617501E-1,-2.231256104E1,-3.477704620E1,-1.813151550E1
4.182007501E-1,-2.172247314E1,-3.446181488E1,-1.955815125E1
4.381407502E-1,-2.103826904E1,-3.382590866E1,-2.135547638E1
4.580797502E-1,-2.014390564E1,-3.346676254E1,-2.255945969E1
4.780187502E-1,-1.931423187E1,-3.360110474E1,-2.311495209E1
4.979577500E-1,-1.873702240E1,-3.445357895E1,-2.241676712E1
5.178967500E-1,-1.792160034E1,-3.579396057E1,-2.056443024E1
5.378357500E-1,-1.740431976E1,-3.748014069E1,-1.852904510E1
5.577747501E-1,-1.712772369E1,-3.859912109E1,-1.614690399E1
5.777137501E-1,-1.697077942E1,-3.940079880E1,-1.472593689E1
5.976527501E-1,-1.634103394E1,-3.945377731E1,-1.495726013E1
6.175917501E-1,-1.565061188E1,-3.949960327E1,-1.584022522E1
6.375307501E-1,-1.536403656E1,-3.939884567E1,-1.635010529E1
6.574697501E-1,-1.563903809E1,-3.929397964E1,-1.620262146E1
6.774087502E-1,-1.546192169E1,-3.926848221E1,-1.619197845E1
6.973477502E-1,-1.573136139E1,-3.902122879E1,-1.636342621E1
7.172877502E-1,-1.606587982E1,-3.888611984E1,-1.659323120E1
7.372267500E-1,-1.638571930E1,-3.847169876E1,-1.698758698E1
7.571657500E-1,-1.689292908E1,-3.817549515E1,-1.734793091E1
7.771047500E-1,-1.743223572E1,-3.779361343E1,-1.749005127E1
7.970437501E-1,-1.797207642E1,-3.756726074E1,-1.734366608E1
8.169827501E-1,-1.904419708E1,-3.726494980E1,-1.670820618E1
8.369217501E-1,-2.002427673E1,-3.726425171E1,-1.575897217E1
8.568607501E-1,-2.128231049E1,-3.718171692E1,-1.454048157E1
8.767997501E-1,-2.263208008E1,-3.695091629E1,-1.289169312E1
8.967387502E-1,-2.408809662E1,-3.666020203E1,-1.097506714E1
9.166777502E-1,-2.543817139E1,-3.631972122E1,-9.549903870E0
9.366167502E-1,-2.684867096E1,-3.559695435E1,-8.569961548E0
9.565557500E-1,-2.831811523E1,-3.478146362E1,-7.264038086E0
9.764947500E-1,-2.996263885E1,-3.390790558E1,-5.243698120E0
9.964347500E-1,-3.127463531E1,-3.276938248E1,-3.467956543E0
1.016373750E0,-3.238127136E1,-3.215967178E1,-2.198623657E0
1.036312750E0,-3.235936737E1,-3.206883240E1,-5.959243774E-1
1.056251750E0,-3.238447571E1,-3.222169495E1,1.927482605E0
1.076190708E0,-3.261341095E1,-3.187802887E1,5.820556641E0
1.096129708E0,-3.304570007E1,-3.087142563E1,8.475631714E0
1.116068708E0,-3.385221863E1,-2.949159813E1,1.071722412E1
1.136007708E0,-3.422364807E1,-2.796810341E1,1.269958496E1
1.155946709E0,-3.451887512E1,-2.622576714E1,1.543962860E1
1.175885709E0,-3.506905365E1,-2.459987831E1,1.770471191E1
1.195824708E0,-3.550492096E1,-2.246926880E1,1.870829773E1
1.215763708E0,-3.647142029E1,-1.981987381E1,1.947723389E1
1.235702708E0,-3.693165588E1,-1.704956436E1,2.026101685E1
1.255642708E0,-3.692126465E1,-1.418612289E1,2.086863708E1
1.275581708E0,-3.677515411E1,-1.138539314E1,2.090908813E1
1.295520708E0,-3.666271973E1,-1.000404167E1,2.046988678E1
1.315459708E0,-3.757929993E1,-7.900691986E0,1.889201355E1
1.335398708E0,-3.986552429E1,-6.027084351E0,1.924877167E1
1.355337708E0,-4.133663177E1,-2.301225662E0,2.205030823E1
1.375276709E0,-4.144308472E1,2.334592819E0,2.517384338E1
1.395215709E0,-4.073915863E1,6.609752655E0,2.666675568E1
1.415154709E0,-3.993264008E1,1.005844116E1,2.748141479E1
1.435093708E0,-3.919311523E1,1.269513321E1,2.735930634E1
1.455032708E0,-3.892308044E1,1.387122345E1,2.761080170E1
1.474971708E0,-3.918637848E1,1.324988174E1,2.744203186E1
1.494910708E0,-3.952754211E1,1.197258377E1,2.792063904E1
1.514849708E0,-3.983845520E1,9.607505798E0,2.926722717E1
1.534789708E0,-4.020612335E1,6.444808960E0,3.064190674E1
1.554728708E0,-4.125303650E1,1.809822083E0,3.213304138E1
1.574667708E0,-4.197575378E1,-4.798435211E0,3.359063721E1
1.594606709E0,-3.936997223E1,-1.314823341E1,3.689096069E1
1.614545709E0,-2.967950439E1,-2.087610626E1,4.215731049E1
1.634484709E0,-1.428209686E1,-2.220823860E1,4.607333374E1
1.654423708E0,-3.645324707E0,-1.662884712E1,4.541188049E1
1.674362708E0,-1.498146057E0,-1.195528126E1,4.214686584E1
1.694301708E0,-2.533676147E0,-1.108543777E1,3.867288208E1
1.714240708E0,-1.133949280E0,-1.155668354E1,3.382529449E1
1.734179708E0,2.994110107E0,-1.208522606E1,2.738489532E1
1.754118708E0,7.902015686E0,-1.231548309E1,2.034884644E1
1.774057708E0,9.096305847E0,-1.254014492E1,1.256309509E1
1.793996708E0,2.130142212E0,-1.155048656E1,7.512580872E0
1.813936708E0,-7.903816223E0,-9.040006638E0,7.119338989E0
1.833875709E0,-1.563774872E1,-5.817169189E0,8.524398804E0
1.853814709E0,-1.867393494E1,-3.216588974E0,1.035750580E1
1.873753708E0,-1.789883423E1,-7.594871521E-1,1.218077087E1
1.893692708E0,-1.488516235E1,3.740861893E0,1.481877136E1
1.913631708E0,-1.005501556E1,1.110047150E1,1.793534088E1
