"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.497604000E-3,-4.601151943E-1,3.406000137E-2,-1.858930588E-1
2.895651000E-2,2.665050030E-1,1.671600342E-1,-9.416532516E-1
4.941541600E-2,1.136415482E0,-1.451559067E-1,-3.874397278E-1
6.987437500E-2,6.047537327E-1,1.270442009E-1,8.115177155E-1
9.033328100E-2,-5.363800526E-1,-6.308889389E-2,9.686250687E-1
1.107922390E-1,5.823361874E-2,6.114225388E-1,2.070636749E-1
1.312511450E-1,-7.957756519E-2,6.631619930E-1,-1.296648026E0
1.517101040E-1,2.606188297E0,7.021863461E-1,-1.564823151E0
1.721690100E-1,3.933052123E-1,-3.455913067E-1,-1.712203979E0
1.926279680E-1,-5.849524140E-1,1.033532381E0,5.610523224E-1
2.130868750E-1,-3.084723949E-1,1.623102188E0,-1.026872635E0
2.335458330E-1,1.419808149E0,2.596341372E0,-3.319534302E0
2.540047390E-1,1.236741781E0,2.829374075E0,-3.576309204E0
2.744636980E-1,-5.631060004E-1,-5.621811867E0,6.968007088E0
2.949226040E-1,1.077053308E0,-1.978843689E0,-2.146440506E0
3.153815620E-1,4.073518276E0,3.109376431E-1,-1.303170204E0
3.358405200E-1,2.508757830E0,-1.152189255E0,-2.162199974E0
3.562994270E-1,1.473718047E0,3.125534058E-1,-2.828172684E0
3.767583850E-1,1.382450759E-1,-2.368564606E-1,-2.610059738E0
3.972172910E-1,-6.165506840E-1,-1.375002384E0,-3.043465137E0
4.176762500E-1,-1.687155962E0,-2.218821526E0,-5.555894852E0
4.381351560E-1,-3.836814404E0,-1.306740403E0,1.076774597E0
4.585941140E-1,-1.595708132E0,-2.712767124E-1,-7.994747162E-1
4.790530200E-1,2.402496815E0,-3.984665871E-1,-5.961790085E-1
4.995119790E-1,6.380602717E-1,2.046968937E-1,-2.143680573E0
5.199709370E-1,1.720483065E0,-2.315783501E-2,-1.932178497E0
5.404298430E-1,6.328166008E0,-1.299302578E-1,-3.223744392E0
5.608888020E-1,-2.832877398E0,-1.640252352E0,1.405655861E0
5.813477080E-1,-9.383954406E-1,-7.500042915E-1,4.671161652E0
6.018066660E-1,3.903658628E0,-1.572477818E0,6.229999542E0
6.222656250E-1,2.939527750E0,-1.591200829E-1,-2.736553192E0
6.427245310E-1,2.838957310E-1,-3.034260035E0,3.030110359E0
6.631834890E-1,-1.875067592E0,-6.187012196E-1,2.575093269E0
6.836424480E-1,-4.067074776E0,-6.213831902E-1,3.496173859E0
7.041013540E-1,-3.067022800E0,1.771728516E0,1.964692116E0
7.245603120E-1,-1.754676104E0,1.631683111E0,2.104020119E0
7.450192180E-1,-2.860326767E0,-1.078903675E-1,-1.635610580E0
7.654781770E-1,-1.748206615E0,1.290802956E0,1.352251053E0
7.859371350E-1,-1.400130630E0,2.276156425E0,7.960109711E-1
8.063960410E-1,-2.743267536E0,2.361914396E0,-1.061286926E-1
8.268550000E-1,-3.219342232E0,2.609602451E0,-2.697410583E-1
8.473139580E-1,-1.330839157E0,1.879008532E0,2.599616051E0
8.677728640E-1,-1.184544444E0,1.113152504E0,2.229969978E0
8.882318230E-1,-2.912796736E-1,1.160431862E0,7.377243042E-1
9.086907810E-1,-1.126394033E0,2.059026718E0,9.689865112E-1
9.291497390E-1,-2.324854136E-1,1.767587900E0,1.085798264E0
9.496086450E-1,-7.385516167E-1,6.475300789E-1,6.873407364E-1
9.700676040E-1,-1.480951309E-1,4.585433006E-2,-6.425313950E-1
9.905265620E-1,3.667263985E-1,-1.013432980E0,-7.530426979E-1
1.010985520E0,1.218909740E0,-1.136542082E0,-2.051811218E-1
1.031444427E0,1.031570435E0,-1.408915997E0,1.654701233E-1
1.051903385E0,-1.237711906E-1,-1.856606007E0,-1.789560318E-1
1.072362343E0,2.894685268E-1,-1.839816093E0,1.488597870E0
1.092821302E0,1.300709963E0,-8.504796028E-2,3.681406975E0
1.113280208E0,-8.120322227E-2,-5.229284763E-1,1.175221443E1
1.133739166E0,-1.458444595E-1,-9.261765480E-1,5.658516884E0
1.154198125E0,-2.081940651E0,-5.386509895E-1,-1.710786343E0
1.174657083E0,-5.117313862E-1,-5.936484337E-1,2.459332466E0
1.195116041E0,-3.603275299E0,5.815219879E-2,-7.488498688E-1
1.215574948E0,-4.025333881E0,8.987832069E-2,-2.222511292E0
1.236033906E0,-4.942901134E-1,1.603655815E-1,1.970117569E0
