"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.668057300E-2,9.675000191E0,-4.368750095E0,-6.189375305E1
3.668057300E-2,8.662500381E0,-4.312500000E0,-6.165000153E1
5.668057300E-2,7.612500191E0,-3.675000191E0,-6.151875305E1
7.668057300E-2,6.018750191E0,-2.793750048E0,-6.142500305E1
9.668057300E-2,3.900000095E0,-1.481250048E0,-6.118125153E1
1.166805730E-1,1.575000048E0,-5.625000224E-2,-6.078750229E1
1.366805730E-1,-7.500000000E-1,1.406250000E0,-6.048750305E1
1.566805730E-1,-3.168750048E0,3.000000000E0,-5.986875153E1
1.766805730E-1,-4.856250286E0,4.125000000E0,-5.908125305E1
1.966805730E-1,-6.412500381E0,6.075000286E0,-5.853750229E1
2.166805730E-1,-7.800000191E0,7.668750286E0,-5.724375153E1
2.366805730E-1,-8.681250572E0,9.018750191E0,-5.625000381E1
2.566805730E-1,-9.412500381E0,1.059375000E1,-5.550000381E1
2.766805730E-1,-8.943750381E0,1.162500000E1,-5.480625153E1
2.966805730E-1,-8.475000381E0,1.181250000E1,-5.478750229E1
3.166805730E-1,-7.762500286E0,1.207500076E1,-5.465625381E1
3.366805730E-1,-7.575000286E0,1.224375057E1,-5.484375381E1
3.566805730E-1,-7.687500477E0,1.200000000E1,-5.471250153E1
3.766805730E-1,-7.518750191E0,1.231875038E1,-5.467500305E1
3.966805730E-1,-7.368750095E0,1.276875019E1,-5.484375381E1
4.166805730E-1,-6.750000477E0,1.254375076E1,-5.512500381E1
4.366805730E-1,-5.868750095E0,1.218750095E1,-5.540625381E1
4.566805730E-1,-4.312500000E0,1.194375038E1,-5.621250153E1
4.766805730E-1,-3.131250143E0,1.095000076E1,-5.679375076E1
4.966805730E-1,-2.287500143E0,1.048125076E1,-5.715000153E1
5.166805730E-1,-2.287500143E0,9.937500000E0,-5.750625229E1
5.366805730E-1,-3.075000048E0,9.168750763E0,-5.771250153E1
5.566805730E-1,-4.556250095E0,8.400000572E0,-5.818125153E1
5.766805730E-1,-6.525000095E0,7.575000286E0,-5.883750153E1
5.966805730E-1,-9.693750381E0,6.187500477E0,-5.964375305E1
6.166805730E-1,-1.402500057E1,4.743750095E0,-6.001875305E1
6.366805730E-1,-1.843125153E1,3.843750238E0,-5.964375305E1
6.566805730E-1,-2.197500038E1,2.868750095E0,-5.910000229E1
6.766805730E-1,-2.392500114E1,2.756250143E0,-5.902500153E1
6.966805730E-1,-2.418750191E1,2.812500000E0,-5.889375305E1
7.166805730E-1,-2.332500076E1,3.075000048E0,-5.945625305E1
7.366805730E-1,-2.311875153E1,3.750000238E0,-5.966250229E1
7.566805730E-1,-2.328750038E1,4.556250095E0,-5.947500229E1
7.766805730E-1,-2.360625076E1,5.531250000E0,-5.898750305E1
7.966805730E-1,-2.396250153E1,6.525000095E0,-5.850000381E1
8.166805730E-1,-2.426250076E1,7.481250286E0,-5.842500305E1
8.366805730E-1,-2.443125153E1,8.418750763E0,-5.793750381E1
8.566805730E-1,-2.467500114E1,8.962500572E0,-5.763750076E1
8.766805730E-1,-2.538750076E1,9.750000000E0,-5.737500381E1
8.966805730E-1,-2.583750153E1,9.806250572E0,-5.686875153E1
9.166805730E-1,-2.621250153E1,1.008750057E1,-5.685000229E1
9.366805730E-1,-2.705625153E1,1.001250076E1,-5.681250381E1
9.566805730E-1,-2.784375191E1,9.131250381E0,-5.662500381E1
9.766805730E-1,-2.876250076E1,8.906250000E0,-5.610000229E1
9.966805730E-1,-3.026250076E1,8.943750381E0,-5.580000305E1
1.016680573E0,-3.193125153E1,9.675000191E0,-5.503125381E1
1.036680573E0,-3.343125153E1,1.087500000E1,-5.443125153E1
1.056680573E0,-3.476250076E1,1.218750095E1,-5.445000076E1
1.076680573E0,-3.538125229E1,1.376250076E1,-5.405625153E1
1.096680573E0,-3.601875305E1,1.546875095E1,-5.461875153E1
1.116680573E0,-3.605625153E1,1.736250114E1,-5.469375229E1
1.136680573E0,-3.586875153E1,1.948125076E1,-5.506875229E1
1.156680573E0,-3.560625076E1,2.064375114E1,-5.563125229E1
1.176680573E0,-3.500625229E1,2.158125114E1,-5.606250381E1
1.196680573E0,-3.429375076E1,2.193750000E1,-5.679375076E1
1.216680573E0,-3.365625000E1,2.173125076E1,-5.709375381E1
1.236680573E0,-3.343125153E1,2.131875038E1,-5.784375381E1
1.256680573E0,-3.305625153E1,2.113125038E1,-5.797500229E1
1.276680573E0,-3.309375000E1,2.100000000E1,-5.836875153E1
1.296680573E0,-3.348750305E1,2.096250153E1,-5.887500381E1
1.316680573E0,-3.378750229E1,2.128125000E1,-5.844375229E1
1.336680573E0,-3.343125153E1,2.176875114E1,-5.865000153E1
1.356680573E0,-3.331875229E1,2.218125153E1,-5.863125229E1
1.376680573E0,-3.226875305E1,2.203125000E1,-5.885625076E1
1.396680573E0,-3.174375153E1,2.201250076E1,-5.968125153E1
1.416680573E0,-3.140625191E1,2.173125076E1,-5.998125076E1
1.436680573E0,-3.106875038E1,2.165625000E1,-6.030000305E1
1.456680573E0,-3.112500191E1,2.208750153E1,-6.028125381E1
1.476680573E0,-3.035625076E1,2.242500114E1,-6.030000305E1
1.496680573E0,-3.000000191E1,2.296875000E1,-6.043125153E1
1.516680573E0,-2.902500153E1,2.304375076E1,-6.076875305E1
1.536680573E0,-2.865000153E1,2.336250114E1,-6.114375305E1
1.556680573E0,-2.806875038E1,2.334375000E1,-6.138750076E1
1.576680573E0,-2.739375114E1,2.255625153E1,-6.170625305E1
1.596680573E0,-2.780625153E1,2.253750038E1,-6.146250153E1
1.616680573E0,-2.797500038E1,2.231250000E1,-6.108750153E1
1.636680573E0,-2.810625076E1,2.236875153E1,-6.080625153E1
1.656680573E0,-2.812500191E1,2.265000153E1,-6.086250305E1
1.676680573E0,-2.743125153E1,2.223750114E1,-6.136875153E1
1.696680573E0,-2.647500038E1,2.154375076E1,-6.161250305E1
1.716680573E0,-2.617500114E1,2.071875000E1,-6.196875381E1
1.736680573E0,-2.570625114E1,2.028750038E1,-6.200625229E1
1.756680573E0,-2.514375114E1,2.015625000E1,-6.187500381E1
1.776680573E0,-2.467500114E1,2.073750114E1,-6.219375229E1
1.796680573E0,-2.471250153E1,2.116875076E1,-6.178125381E1
1.816680573E0,-2.465625191E1,2.169375038E1,-6.136875153E1
1.836680573E0,-2.540625191E1,2.212500000E1,-6.067500305E1
1.856680573E0,-2.593125153E1,2.175000000E1,-6.054375076E1
1.876680573E0,-2.595000076E1,2.141250038E1,-6.076875305E1
1.896680573E0,-2.655000114E1,2.075625038E1,-6.105000305E1
1.916680573E0,-2.681250191E1,1.993125153E1,-6.121875381E1
1.936680573E0,-2.752500153E1,1.935000038E1,-6.030000305E1
1.956680573E0,-2.771250153E1,1.923750114E1,-5.932500076E1
1.976680573E0,-2.782500076E1,1.916250038E1,-5.859375381E1
2.006679352E0,-2.746875191E1,1.921875000E1,-5.765625381E1
2.026679352E0,-2.750625038E1,1.906875038E1,-5.731875229E1
2.046679352E0,-2.791875076E1,1.914375114E1,-5.613750076E1
2.066679352E0,-2.838750076E1,1.895625114E1,-5.553750229E1
2.086679352E0,-2.866875076E1,1.831875038E1,-5.518125153E1
2.106679352E0,-2.846250153E1,1.777500153E1,-5.484375381E1
2.126679352E0,-2.835000038E1,1.751250076E1,-5.514375305E1
2.146679352E0,-2.784375191E1,1.749375153E1,-5.475000381E1
