"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.528291250E-1,-2.300867587E-1,-5.459913611E-1,6.724928021E-1
1.728291250E-1,-1.357517093E-1,-7.925016284E-1,6.933669448E-1
1.928306870E-1,1.307251584E-2,-5.602506995E-1,6.232571006E-1
2.148306870E-1,1.613556892E-1,-7.819075137E-2,4.368384480E-1
2.348306870E-1,2.790781483E-2,5.150466785E-2,1.624203324E-1
2.548369370E-1,-2.445729822E-1,-1.999449134E-1,-3.448770568E-2
2.748385000E-1,-5.167047381E-1,-6.318091750E-1,-2.063328177E-1
2.968306870E-1,-5.752255917E-1,-6.655464172E-1,-2.842268646E-1
3.168306870E-1,-4.048291147E-1,-5.669178367E-1,-1.646369100E-1
3.368306870E-1,-2.533519864E-1,-4.949055612E-1,8.438666910E-2
3.568353750E-1,-2.524967790E-1,-6.127153039E-1,1.409876943E-1
3.788306870E-1,-4.428423941E-1,-4.183030725E-1,-8.936085552E-2
3.988338120E-1,-5.711066127E-1,-1.401499361E-1,-5.366538167E-1
4.208306870E-1,-5.448394418E-1,-1.314058453E-1,-3.602708578E-1
4.408353750E-1,-2.174505740E-1,1.886526346E-1,-8.395033889E-3
4.628291250E-1,2.464404888E-2,6.758089662E-1,1.092925146E-1
4.828338120E-1,2.676113248E-1,8.724377155E-1,3.036174774E-1
5.048306870E-1,4.394215345E-1,6.787760258E-1,5.971120596E-1
5.268291250E-1,3.850021660E-1,2.274513096E-1,6.117728353E-1
5.468306870E-1,3.919835091E-1,-6.150540337E-2,3.177895546E-1
5.668494370E-1,5.375788808E-1,-1.691049486E-1,9.154251963E-2
5.888306870E-1,6.597693563E-1,-2.273989469E-1,5.656611919E-2
6.088306870E-1,7.441560030E-1,-3.491356671E-1,-1.509709805E-1
6.288306870E-1,7.203322649E-1,-4.195771515E-1,-4.269075394E-1
6.488306870E-1,4.385663271E-1,-1.301317513E-1,-1.434660703E-1
6.708306870E-1,2.265088260E-1,1.895602047E-1,1.500983140E-3
6.928306870E-1,6.124360487E-2,1.879021525E-1,1.743583940E-2
7.128306870E-1,-1.006182283E-1,-2.195624262E-2,6.841690838E-2
7.328306870E-1,-2.725855112E-1,-3.838677108E-1,5.976007506E-2
7.528306870E-1,-2.491632104E-1,-5.056917071E-1,-3.164282069E-2
7.728306870E-1,1.226442829E-1,-1.266759932E-1,-1.438151300E-2
7.948306870E-1,3.459067941E-1,1.488416791E-1,1.365894675E-1
8.168306870E-1,9.278170019E-2,-4.180063680E-2,2.332108915E-1
8.388306870E-1,-2.086890191E-1,-1.989326328E-1,1.343030781E-1
8.588306870E-1,-3.277553916E-1,-1.752659678E-1,5.806710571E-2
8.788306870E-1,-3.449643254E-1,-1.133765876E-1,7.298967242E-2
8.988306870E-1,-3.083647788E-1,-1.607448235E-2,1.350535750E-1
9.188306870E-1,-2.691995800E-1,1.408655196E-1,2.313433886E-1
9.388306870E-1,-1.778315902E-1,2.313608378E-1,3.371627033E-1
9.588306870E-1,1.705186628E-2,-9.232791513E-2,3.223448694E-1
9.788306870E-1,2.125985622E-1,-5.597794652E-1,1.434660703E-1
9.988306870E-1,1.562244147E-1,-8.078780174E-1,5.393067375E-3
