"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.044281200E-2,3.550000000E1,-4.375000000E-1,-3.056250000E1
5.043968700E-2,3.581250000E1,0.000000000E0,-3.175000000E1
7.046156200E-2,3.575000000E1,1.250000000E-1,-3.218750000E1
1.004381250E-1,3.581250000E1,1.187500000E0,-3.406250000E1
1.204459370E-1,3.525000000E1,1.687500000E0,-3.456250000E1
1.504396870E-1,3.475000000E1,2.250000000E0,-3.543750000E1
1.704584370E-1,3.400000000E1,2.375000000E0,-3.593750000E1
2.004381250E-1,3.300000000E1,1.937500000E0,-3.606250000E1
2.204412500E-1,3.256250000E1,1.500000000E0,-3.575000000E1
2.504396870E-1,3.250000000E1,1.062500000E0,-3.581250000E1
2.704787500E-1,3.212500000E1,1.250000000E0,-3.618750000E1
3.004396870E-1,3.156250000E1,2.000000000E0,-3.737500000E1
3.204396870E-1,3.125000000E1,2.312500000E0,-3.787500000E1
3.404396870E-1,3.106250000E1,2.562500000E0,-3.806250000E1
3.604443750E-1,3.050000000E1,2.687500000E0,-3.850000000E1
3.904396870E-1,3.000000000E1,3.250000000E0,-3.918750000E1
4.104428120E-1,2.968750000E1,4.000000000E0,-3.912500000E1
4.404396870E-1,2.962500000E1,4.937500000E0,-3.925000000E1
4.604459370E-1,3.012500000E1,5.062500000E0,-3.850000000E1
4.904396870E-1,3.087500000E1,4.812500000E0,-3.762500000E1
5.104412500E-1,3.181250000E1,4.125000000E0,-3.712500000E1
5.404396870E-1,3.162500000E1,3.187500000E0,-3.656250000E1
5.704584370E-1,3.181250000E1,2.187500000E0,-3.650000000E1
6.004381250E-1,3.162500000E1,1.187500000E0,-3.662500000E1
6.204396870E-1,3.150000000E1,8.125000000E-1,-3.706250000E1
6.504396870E-1,3.137500000E1,4.375000000E-1,-3.725000000E1
6.704584370E-1,3.131250000E1,4.375000000E-1,-3.731250000E1
7.004396870E-1,3.162500000E1,6.250000000E-1,-3.737500000E1
7.204396870E-1,3.162500000E1,5.625000000E-1,-3.706250000E1
7.504396870E-1,3.137500000E1,6.875000000E-1,-3.768750000E1
7.704725000E-1,3.112500000E1,7.500000000E-1,-3.768750000E1
8.004381250E-1,3.125000000E1,5.625000000E-1,-3.756250000E1
8.204396870E-1,3.137500000E1,3.125000000E-1,-3.781250000E1
8.504381250E-1,3.056250000E1,2.500000000E-1,-3.768750000E1
8.704584370E-1,3.068750000E1,7.500000000E-1,-3.781250000E1
9.004396870E-1,3.056250000E1,8.125000000E-1,-3.793750000E1
9.304381250E-1,3.056250000E1,7.500000000E-1,-3.781250000E1
9.504396870E-1,3.062500000E1,6.875000000E-1,-3.806250000E1
9.704600000E-1,3.056250000E1,5.000000000E-1,-3.850000000E1
1.000438125E0,2.968750000E1,0.000000000E0,-3.875000000E1
1.020438125E0,2.931250000E1,-2.500000000E-1,-3.925000000E1
1.040439687E0,2.906250000E1,1.250000000E-1,-3.937500000E1
1.070456875E0,2.856250000E1,2.125000000E0,-3.925000000E1
1.100438125E0,3.000000000E1,6.562500000E0,-3.731250000E1
1.120439687E0,3.093750000E1,8.812500000E0,-3.606250000E1
1.150439687E0,3.043750000E1,9.750000000E0,-3.643750000E1
1.170458437E0,2.950000000E1,9.062500000E0,-3.718750000E1
1.200438125E0,3.050000000E1,7.125000000E0,-3.687500000E1
1.220438125E0,3.006250000E1,6.437500000E0,-3.681250000E1
1.240438125E0,2.975000000E1,5.375000000E0,-3.675000000E1
1.260438125E0,3.081250000E1,5.375000000E0,-3.600000000E1
1.280438125E0,3.237500000E1,5.062500000E0,-3.500000000E1
1.300438125E0,3.381250000E1,4.500000000E0,-3.400000000E1
1.320438125E0,3.493750000E1,4.187500000E0,-3.350000000E1
1.340438125E0,3.556250000E1,3.750000000E0,-3.350000000E1
1.360438125E0,3.537500000E1,2.937500000E0,-3.368750000E1
1.380438125E0,3.481250000E1,2.062500000E0,-3.400000000E1
1.400438125E0,3.381250000E1,1.250000000E0,-3.450000000E1
1.420438125E0,3.275000000E1,3.125000000E-1,-3.500000000E1
1.440438125E0,3.218750000E1,0.000000000E0,-3.543750000E1
1.460439687E0,3.231250000E1,1.250000000E-1,-3.543750000E1
1.480439687E0,3.312500000E1,7.500000000E-1,-3.493750000E1
1.510439687E0,3.312500000E1,1.562500000E0,-3.512500000E1
1.540439687E0,3.156250000E1,2.187500000E0,-3.656250000E1
1.570456875E0,3.081250000E1,3.375000000E0,-3.731250000E1
1.600438125E0,3.087500000E1,4.750000000E0,-3.775000000E1
1.620439687E0,3.075000000E1,5.625000000E0,-3.787500000E1
1.650439687E0,3.068750000E1,6.750000000E0,-3.762500000E1
1.670458437E0,3.068750000E1,6.812500000E0,-3.737500000E1
1.700438125E0,3.018750000E1,6.500000000E0,-3.787500000E1
1.720438125E0,3.081250000E1,6.437500000E0,-3.743750000E1
1.740438125E0,3.231250000E1,6.875000000E0,-3.625000000E1
1.760438125E0,3.312500000E1,7.250000000E0,-3.525000000E1
1.780438125E0,3.343750000E1,7.437500000E0,-3.500000000E1
1.800438125E0,3.318750000E1,7.000000000E0,-3.468750000E1
1.820438125E0,3.281250000E1,6.875000000E0,-3.462500000E1
1.840438125E0,3.293750000E1,6.687500000E0,-3.425000000E1
1.860438125E0,3.375000000E1,5.875000000E0,-3.350000000E1
1.880438125E0,3.450000000E1,5.000000000E0,-3.281250000E1
1.900438125E0,3.506250000E1,4.750000000E0,-3.237500000E1
1.920438125E0,3.543750000E1,4.500000000E0,-3.206250000E1
1.940438125E0,3.506250000E1,4.875000000E0,-3.237500000E1
1.960438125E0,3.493750000E1,5.000000000E0,-3.256250000E1
1.980441250E0,3.512500000E1,5.250000000E0,-3.262500000E1
2.010439687E0,3.550000000E1,5.500000000E0,-3.293750000E1
2.040439687E0,3.568750000E1,5.562500000E0,-3.262500000E1
2.070458437E0,3.550000000E1,5.437500000E0,-3.243750000E1
2.100438125E0,3.537500000E1,4.937500000E0,-3.212500000E1
2.120439687E0,3.581250000E1,4.750000000E0,-3.181250000E1
2.150438125E0,3.631250000E1,4.437500000E0,-3.118750000E1
2.170458437E0,3.681250000E1,4.562500000E0,-3.075000000E1
2.200438125E0,3.706250000E1,4.625000000E0,-3.031250000E1
2.220439687E0,3.681250000E1,4.437500000E0,-3.062500000E1
2.250438125E0,3.631250000E1,4.500000000E0,-3.125000000E1
2.270474062E0,3.650000000E1,3.875000000E0,-3.125000000E1
2.300438125E0,3.643750000E1,3.187500000E0,-3.131250000E1
2.320445937E0,3.593750000E1,3.437500000E0,-3.206250000E1
2.350439687E0,3.462500000E1,3.250000000E0,-3.293750000E1
2.370464687E0,3.431250000E1,3.312500000E0,-3.318750000E1
2.400439687E0,3.418750000E1,3.437500000E0,-3.343750000E1
2.420445937E0,3.412500000E1,3.625000000E0,-3.362500000E1
2.450438125E0,3.387500000E1,3.875000000E0,-3.400000000E1
2.470463125E0,3.343750000E1,3.937500000E0,-3.462500000E1
2.500438125E0,3.256250000E1,4.500000000E0,-3.512500000E1
2.520438125E0,3.231250000E1,5.125000000E0,-3.562500000E1
2.540439687E0,3.193750000E1,5.312500000E0,-3.581250000E1
2.560447500E0,3.181250000E1,5.375000000E0,-3.537500000E1
2.590438125E0,3.187500000E1,5.000000000E0,-3.581250000E1
2.610445937E0,3.150000000E1,5.312500000E0,-3.568750000E1
2.640438125E0,3.087500000E1,6.187500000E0,-3.637500000E1
2.660438125E0,3.050000000E1,7.000000000E0,-3.650000000E1
2.680439687E0,3.006250000E1,7.500000000E0,-3.656250000E1
2.700439687E0,2.993750000E1,7.687500000E0,-3.656250000E1
2.730438125E0,2.968750000E1,7.750000000E0,-3.675000000E1
2.750439687E0,2.956250000E1,7.187500000E0,-3.687500000E1
2.770472500E0,2.937500000E1,7.187500000E0,-3.681250000E1
2.800439687E0,2.912500000E1,7.187500000E0,-3.700000000E1
2.820439687E0,2.900000000E1,6.937500000E0,-3.725000000E1
2.840439687E0,2.900000000E1,7.125000000E0,-3.756250000E1
2.870458437E0,2.906250000E1,7.187500000E0,-3.756250000E1
2.900438125E0,2.968750000E1,7.375000000E0,-3.731250000E1
2.920438125E0,3.018750000E1,7.437500000E0,-3.656250000E1
2.940438125E0,3.075000000E1,7.625000000E0,-3.643750000E1
