"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668937957544574E9,"2022-11-20 17:52:37.545 UTC+08:00"
"PAUSE",1.500080977083417E2,1.668938107548674E9,"2022-11-20 17:55:07.549 UTC+08:00"
