"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.914851000E0,1.106783032E0,-8.865923285E-1,2.446078956E-1
1.934851000E0,6.323676705E-1,-5.585053563E-1,-1.418254524E-1
1.954851000E0,2.811027169E-1,-3.683517277E-1,-7.780503035E-1
1.974851000E0,1.670280099E-1,2.671051919E-1,-7.339283824E-1
1.994851000E0,8.824384958E-2,1.179126978E0,-3.286454976E-1
2.014851000E0,2.415884733E-1,1.988366365E0,3.612831607E-2
2.034851000E0,1.198168546E-1,5.496739745E-1,-9.372418374E-2
2.054851000E0,1.619490981E-1,1.982519478E-1,-3.481233716E-1
2.074851000E0,-2.631956525E-2,5.263040066E-1,-4.245688021E-1
2.094854125E0,-4.474500716E-1,1.039011955E0,-2.515019476E-1
2.116851000E0,-7.290414572E-1,9.211498499E-1,-2.136806548E-1
2.136855688E0,-7.462678552E-1,2.550100684E-1,-1.640609503E-1
2.158851000E0,-3.083298504E-1,-3.431666493E-1,4.063126445E-2
2.178851000E0,2.159844935E-1,-8.429591060E-1,1.149473861E-1
2.198851000E0,5.575628877E-1,-1.270390272E0,-9.424777701E-3
2.218851000E0,5.867273211E-1,-1.468746901E0,-1.232726052E-1
2.238851000E0,3.407755494E-1,-1.254490256E0,-1.220159680E-1
2.258854125E0,-4.991641734E-3,-6.954962611E-1,-8.977973461E-2
2.280851000E0,-3.016278148E-1,-9.855873883E-2,-6.078981608E-2
2.300851000E0,-4.102919996E-1,3.095864952E-1,2.588323317E-2
2.320851000E0,-4.294906259E-1,6.590014100E-1,7.103490084E-2
2.340851000E0,-4.302236736E-1,1.135127187E0,1.621585339E-1
2.360851000E0,-4.236088693E-1,2.079524994E0,3.454006612E-1
2.380851000E0,1.781981252E-2,1.878183722E0,2.060361207E-1
2.400863500E0,1.377239376E-1,1.072208166E0,5.605997518E-2
2.422851000E0,1.745329238E-3,1.596731901E0,2.067517042E-1
2.442852563E0,-4.823915362E-1,1.950003982E0,6.971543431E-1
2.462852563E0,-9.126675725E-1,1.077287078E0,8.574104309E-1
2.484876000E0,-7.190407515E-1,-2.651155181E-2,5.070181489E-1
2.506852563E0,2.190213650E-1,-2.234021388E-2,3.659606278E-1
2.526858813E0,1.086100936E0,-2.258456051E-1,4.263490140E-1
2.548852563E0,1.382964015E0,-1.108615637E0,3.226415515E-1
2.570852563E0,8.690692186E-1,-2.276101351E0,5.520476401E-2
2.592860375E0,5.323254317E-2,-2.725733042E0,-1.528035700E-1
2.614852563E0,-4.516737461E-1,-2.322055817E0,-2.187944800E-1
2.634855688E0,-5.445078015E-1,-1.378705382E0,-1.907994002E-1
2.656852563E0,-3.236014843E-1,-2.734930813E-1,-4.996877536E-2
2.676852563E0,6.892304868E-2,4.998797476E-1,1.539729387E-1
2.698851000E0,4.598419070E-1,8.172504306E-1,3.560297191E-1
2.718851000E0,5.200208426E-1,1.374673724E0,6.334672570E-1
2.740849438E0,2.407507151E-1,1.994282961E0,7.259348035E-1
2.760851000E0,-2.672971785E-1,2.107223272E0,6.782349348E-1
2.780851000E0,-6.904522777E-1,1.754806399E0,5.666560531E-1
2.800857250E0,-7.904945016E-1,8.150163889E-1,2.731265724E-1
2.822851000E0,-3.838502467E-1,-1.961226463E-1,-4.680972919E-2
2.842851000E0,2.457772642E-1,-7.671943903E-1,-2.208016068E-1
2.862851000E0,7.311009765E-1,-1.225709796E0,-2.957460284E-1
2.882854125E0,7.996225953E-1,-1.645077586E0,-3.326946497E-1
2.904851000E0,3.859795630E-1,-1.720597982E0,-3.693465889E-1
2.924855688E0,-1.729795784E-1,-1.276952744E0,-3.099355698E-1
2.946851000E0,-6.868219376E-1,-4.367511868E-1,-5.061454698E-2
2.966855688E0,-9.023526907E-1,1.816364080E-1,1.535540670E-1
2.988857250E0,-7.061078548E-1,4.328241944E-1,2.721841037E-1
3.008871313E0,-4.362624884E-1,2.179567218E-1,2.817485034E-1
3.030851000E0,-5.124810338E-1,-5.574406981E-1,1.109331250E-1
3.050851000E0,-6.403961778E-1,-1.359593987E0,-2.325651199E-1
3.070851000E0,-3.762231767E-1,-1.692812324E0,-5.978625417E-1
3.090851000E0,3.441265821E-1,-1.288541675E0,-6.466096044E-1
3.110851000E0,9.615542293E-1,-7.778932452E-1,-1.712342501E-1
3.130852563E0,1.117481947E0,-4.483576417E-1,1.571319848E-1
3.152851000E0,8.337263465E-1,-4.339586496E-1,3.096214123E-2
3.172851000E0,4.658109248E-1,-2.568950057E-1,-2.327396572E-1
3.192851000E0,1.004960611E-1,7.916813344E-2,-5.342278481E-1
3.212851000E0,-2.238733768E-1,1.995085925E-1,-7.967602611E-1
3.232851000E0,-4.041309953E-1,2.293188125E-1,-7.866373658E-1
3.252851000E0,-3.979874253E-1,3.161489367E-1,-6.335894465E-1
3.272851000E0,-3.111398518E-1,3.086091280E-1,-4.734903574E-1
3.292851000E0,-1.799608916E-1,2.780483961E-1,-3.258005977E-1
3.312851000E0,-3.417354822E-2,2.683967352E-1,-2.056695968E-1
3.332851000E0,8.054694533E-2,2.354274690E-1,-1.407608092E-1
3.352863500E0,1.089958102E-1,2.117084414E-1,-1.002866179E-1
3.374851000E0,-2.515019476E-2,1.710248142E-1,-1.025729999E-1
3.394851000E0,-1.833293885E-1,1.940631568E-1,-5.558873713E-2
3.414851000E0,-2.721142769E-1,2.345722467E-1,8.037241548E-2
3.434851000E0,-2.608568966E-1,3.034603894E-1,1.448972374E-1
3.454851000E0,-1.740616858E-1,4.448669851E-1,1.095019579E-1
3.474851000E0,-1.130100712E-1,5.830272436E-1,8.941321820E-2
