"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211808759E1,1.189529066E2,2.549505571E1,4.651342034E-1,2.470553589E2,1.745909500E1,1.745909500E1
1.012086458E0,3.211809968E1,1.189529358E2,2.404946175E1,5.702556372E-1,2.670720825E2,9.787534714E0,9.787534714E0
2.011490104E0,3.211809888E1,1.189529284E2,2.621995835E1,1.002155423E0,2.606091003E2,1.579887962E1,1.579887962E1
3.323990104E0,3.211811301E1,1.189528807E2,1.856847411E1,1.154930234E0,2.325380554E2,8.764541626E0,8.764541626E0
4.324868228E0,3.211814689E1,1.189528634E2,2.143944359E1,1.176620841E0,2.445460052E2,1.562055779E1,1.562055779E1
5.330409374E0,3.211816888E1,1.189528590E2,1.781757430E1,9.851960540E-1,2.987652283E2,1.233299255E1,1.233299255E1
6.330147916E0,3.211818215E1,1.189528487E2,1.618844568E1,9.074550271E-1,2.987652283E2,1.004949188E1,1.004949188E1
7.333310415E0,3.211818876E1,1.189528612E2,1.574557240E1,8.805271983E-1,3.572379150E2,8.128311157E0,8.128311157E0
8.333498957E0,3.211819255E1,1.189528571E2,1.995426328E1,1.113264799E0,3.585889587E2,4.699999809E0,4.699999809E0
9.335586457E0,3.211819924E1,1.189528426E2,2.162427079E1,1.162510872E0,3.339325867E2,4.898356438E0,4.898356438E0
1.033706719E1,3.211821008E1,1.189528314E2,2.322925854E1,1.254981518E0,2.974658203E2,4.879599094E0,4.879599094E0
1.133873906E1,3.211821515E1,1.189528186E2,2.348340608E1,1.075885296E0,2.997578125E2,4.699999809E0,4.699999809E0
1.233799583E1,3.211822051E1,1.189528024E2,2.397882596E1,9.672200680E-1,2.915860596E2,4.699999809E0,4.699999809E0
1.334102708E1,3.211822412E1,1.189527842E2,2.424631409E1,1.114143848E0,2.800880432E2,4.699999809E0,4.699999809E0
1.433846771E1,3.211822569E1,1.189527699E2,2.447939028E1,1.213389993E0,2.681218872E2,4.699999809E0,4.699999809E0
1.533824062E1,3.211822521E1,1.189527583E2,2.459266578E1,1.277068019E0,2.543063965E2,4.699999809E0,4.699999809E0
1.633656510E1,3.211822044E1,1.189527469E2,2.485908103E1,1.308367610E0,2.339407043E2,4.699999809E0,4.699999809E0
1.733857448E1,3.211821344E1,1.189527352E2,2.449682920E1,1.332885385E0,2.308159180E2,4.699999809E0,4.699999809E0
1.833961979E1,3.211821120E1,1.189527233E2,2.444844781E1,1.354733944E0,2.294110413E2,4.699999809E0,4.699999809E0
1.933844166E1,3.211820363E1,1.189527031E2,2.403213248E1,1.274751306E0,2.365170898E2,4.699999809E0,4.699999809E0
2.033773489E1,3.211819947E1,1.189526953E2,2.381393881E1,1.250769377E0,2.266492004E2,4.699999809E0,4.699999809E0
2.133743333E1,3.211819087E1,1.189526872E2,2.365382389E1,1.251360655E0,2.194005127E2,4.699999809E0,4.699999809E0
2.233849427E1,3.211818210E1,1.189526766E2,2.358264369E1,1.041801214E0,2.218485413E2,4.699999809E0,4.699999809E0
2.334100260E1,3.211817340E1,1.189526643E2,2.351780633E1,9.631815553E-1,2.079209900E2,4.699999809E0,4.699999809E0
2.433603281E1,3.211816422E1,1.189526572E2,2.352461324E1,1.144260526E0,2.118687897E2,4.699999809E0,4.699999809E0
2.533859427E1,3.211815413E1,1.189526488E2,2.362074076E1,1.205759287E0,2.156212158E2,4.699999809E0,4.699999809E0
2.633914010E1,3.211814504E1,1.189526385E2,2.344357409E1,1.294972301E0,2.198361816E2,4.699999809E0,4.699999809E0
